Plot ID,PPW1312,,,,Sampler(s),"MFO, PDP, MJK",,,Date ,
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,UMBCAL,2,,10,,,,,,
D1,QUEAGR,1,,9,,,,,,
D1,ARBMEN,8,,,,,,,,
D1,QUEKEL,,,2,,,,,,
D2,UMBCAL,5,,16,,,,,,
D2,QUEAGR,4,,10,,1,,,,
D2,HETARB,,,1,,,,,,
D2,QUEKEL,,,1,,,,,,
D3,UMBCAL,4,,9,,,,,,
D4,UMBCAL,1,,14,,,,,,
D4,ARBMEN,8,,,,,,,,
D4,QUEAGR,1,,1,,,,,,
D4,QUEKEL,,,1,,,,,,
D4,HETARB,,,1,,,,,,
C4,UMBCAL,1,,16,,,,,,
C4,QUEKEL,1,,,,,,,,
C4,QUEAGR,,,7,,1,,,,
C4,ARBMEN,5,,,,,,,,
C4,HETARB,1,,3,,,,,,
C3,UMBCAL,,,9,,,,,,
C3,QUEAGR,1,,8,,,,,,
C2,UMBCAL,,,9,,,,,,
C2,QUEAGR,,,5,,,R=1517,,,
C2,HETARB,,,3,,,,,,
C2,QUEKEL,,,1,,,,,,
C1,QUEAGR,1,,13,,,,,,
C1,UMBCAL,,,14,,,,,,
C1,QUEKEL,1,,1,,,,,,
C1,ARBMEN,,,2,,,,,,
B1,UMBCAL,,,13,,,,,,
B1,QUEAGR,1,,6,,,,,,
B1,QUEKEL,,,3,,,,,,
B1,ARBMEN,1,,1,,,,,,
B1,HETARB,,,1,,,,,,
A1,UMBCAL,2,,4,,,,,,
A1,QUEAGR,4,,13,,,,,,
A1,ARBMEN,4,,,,,,,,
A1,QUEKEL,1,,,,,,,,
A2,QUEAGR,16,,58,,,,,,
A2,PSEMEN,1,,,,,,,,
A2,UMBCAL,,,6,,,,,,
A2,QUEKEL,,,1,,,,,,
A2,ARBMEN,1,,,,,,,,
A3,QUEAGR,13,,37,,,,,,
A3,UMBCAL,1,,2,,,,,,
A3,HETARB,,,3,,,,,,
A3,ARBMEN,1,,1,,,,,,
A3,PSEMEN,,,1,,,,,,
A4,HETARB,,,1,,,,,,
A4,UMBCAL,,,2,,,,,,
A4,QUEAGR,4,,20,,,,,,
A4,ARBMEN,1,,1,,,,,,
B2,QUEAGR,2,,11,,1,,,,
B2,UMBCAL,,,6,,,,,,
B2,QUEKEL,,,1,,,,,,
B3,QUEAGR,4,,21,,,,,,
B3,UMBCAL,,,4,,,,,,
B3,ARBMEN,1,,,,,,,,
B4,QUEAGR,1,,13,,1,,,,
B4,UMBCAL,,,5,,,,,,
B4,HETARB,,,4,,,,,,
B4,PSEMEN,,,1,,,,,,
B4,ARBMEN,,,1,,,,,,
B4,QUEKEL,,,1,,,,,,
