Plot ID,PPW1315,,,,Sampler(s),"MFO, MJK, PDP, LEH, VAF",,,Date ,20150404
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,QUEGAR,0,,13,,,,,,
A3,QUEGAR,4,,10,,,,,,
A2,QUEGAR,3,,5,,,,,,
A2,QUEDOU,0,,1,,,,,,
A2,UMBCAL,0,,1,,,,,,
B2,QUEGAR,2,,2,,,,,,
C2,QUEGAR,0,,5,,,,,,
D2,QUEGAR,0,,6,,,,,,
B1,QUEGAR,15,,28,,,,,,
A1,QUEGAR,6,,22,,,,,,
A1,ARBMEN,1,,0,,,,,,
C1,QUEGAR,0,,2,,,,,,
D1,ARBMEN,0,,3,,,,,,
D1,QUEGAR,3,,19,,,,,,
D1,QUEDOU,0,,1,,,,,,
D1,QUEKEL,0,,1,,,,,,
D3,QUEGAR,5,,23,,,,,,
D4,QUEGAR,6,,14,,,,,,
C3,QUEGAR,1,,11,,,,,,
B4,QUEGAR,7,,62,,,,,,
B4,UMBCAL,0,,2,,,,,,
B3,QUEGAR,3,,44,,,,,,
B3,UMBCAL,0,,1,,,,,,
C4,QUEGAR,4,,22,,,,,,
