Plot ID,PW1326,,,,Sampler(s),"MFO,PDP,RLO",,,Date ,20150521
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,0,,8,,,,,,
A2,UMBCAL,0,,8,,,,,,
AA3,UMBCAL,0,,16,,,,,,
A4,UMBCAL,0,,15,,,,,,
B4,UMBCAL,0,,4,,,,,,
B3,QUEGAR,0,,1,,,,,,
B3,UMBCAL,0,,14,,,,,,
B3,PSEMEN,0,,1,,,,,,
 B2,UMBCAL,0,,10,,,,,,
B1,UMBCAL,0,,5,,,,,,
C1,UMBCAL,0,,3,,,,,,
C2,UMBCAL,0,,4,,,,,,
C3,UMBCAL,0,,7,,,,,,
C3,PSEMEN,1,,0,,,,,,
C4,QUEGAR,0,,3,,,,,,
C4,UMBCAL,0,,5,,,,,,
D4,UMBCAL,0,,6,,,,,,
D3,UMBCAL,1,,13,,,,,,
D2,QUEGAR,0,,1,,,,,,
D2,UMBCAL,0,,4,,,,,,
D1,UMBCAL,2,,4,,,,,,
D1,QUEGAR,0,,1,,,,,,
