Plot ID,PPW1313,,,,Sampler(s),"MFO, MJK, PDP",,,Date ,20150321
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,ARBMEN,4,,0,,0,,,,
D1,HETARB,1,,2,,0,,,,
C1,QUEAGR,0,,3,,0,,,,
C1,QUEKEL,0,,3,,0,,,,
C1,ARBMEN,1,,0,,0,,,,
B1,UMBCAL,0,,2,,0,,,,
B1,QUEAGR,0,,1,,0,,,,
A1,QUEKEL,0,,1,,1,,,,
A1,UMBCAL,0,,2,,0,,,,
A1,HETARB,0,,2,,0,,,,
A1,QUEAGR,0,,1,,0,,,,
A2,QUEKEL,0,,2,,0,,,,
A2,QUEAGR,0,,1,,0,,,,
A2,UMBCAL,0,,1,,0,,,,
B2,QUEAGR,0,,1,,0,,,,
B2,UMBCAL,0,,1,,0,,,,
B2,QUEKEL,0,,1,,0,,,,
C2,QUEAGR,0,,2,,0,,,,
D2,HETARB,0,,1,,0,,,,
D2,QUEGAR,0,,1,,0,Oregon,,,
A3,QUEKEL,0,,1,,0,,,,
A3,QUEGAR,0,,1,,0,Oregon,,,
A3,UMBCAL,0,,1,,0,,,,
A3,QUEAGR,0,,2,,0,,,,
A3,HETARB,0,,1,,0,,,,
D3,QUEAGR,1,,4,,0,,,,
D3,HETARB,0,,1,,0,,,,
B3,QUEAGR,1,,8,,0,,,,
B3,HETARB,0,,1,,0,,,,
B3,ARBMEN,0,,2,,0,,,,
B3,PSEMEN,0,,1,,0,,,,
C3,QUEAGR,0,,4,,0,,,,
C3,QUEGAR,0,,1,,0,Oregon,,,
B4,QUEAGR,0,,6,,0,,,,
B4,UMBCAL,0,,1,,0,,,,
B4,HETARB,0,,2,,0,,,,
C4,HETARB,0,,2,,0,,,,
C4,ARBMEN,0,,1,,0,,,,
C4,QUEKEL,0,,2,,0,,,,
C4,QUEAGR,0,,7,,0,,,,
C4,QUEGAR,0,,0,,0,Oregon,,,
A4,QUEAGR,0,,7,,0,,,,
A4,HETARB,0,,3,,0,,,,
A4,QUEKEL,0,,2,,0,,,,
A4,UMBCAL,0,,1,,0,,,,
D4,QUEAGR,0,,3,,0,,,,
D4,HETARB,0,,1,,0,,,,
