Plot ID,PPW1332,,,,Sampler(s),"MFO, RLO, PDP, MJK, URAP",,,Date ,20150404
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,0,,1,,,,,,
A2,UMBCAL,0,,2,,,,,,
A3,UMBCAL,1,,7,,,,,,
A4,UMBCAL,1,,7,,,,,,
B1,UMBCAL,0,,6,,,,,,
B1,AESCAL,0,,1,,,,,,
B2,UMBCAL,0,,5,,,,,,
B4,UMBCAL,2,,9,,,,,,
B3,UMBCAL,0,,5,,,,,,
C1,UMBCAL,0,,12,,,,,,
C1,AESCAL,0,,1,,,,,,
C2,UMBCAL,0,,13,,,,,,
C2,AESCAL,0,,6,,,,,,
C3,QUEGAR,0,,1,,,,,,
C3,AESCAL,0,,1,,,,,,
C3,UMBCAL,0,,1,,,,,,
C4,UMBCAL,1,,6,,,,,,
C4,AESCAL,0,,1,,,,,,
D3,UMBCAL,0,,7,,,,,,
D3,AESCAL,0,,1,,,,,,
D2,UMBCAL,0,,4,,,,,,
D1,UMBCAL,1,,14,,,,,,
D4,UMBCAL,0,,3,,,,,,
D4,QUEGAR,0,,1,,,,,,
