Plot ID,PPW1335,,,,Sampler(s),"MFO, PDP, VAF, GCA MZC",,,Date ,20150418
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,1,,52,,,,,,
B1,UMBCAL,0,,46,,,,,,
B3,UMBCAL,0,,9,,,,,,
B2,UMBCAL,0,,25,,,,,,
B2,QUEGAR,0,,1,,,,,,
A2,UMBCAL,0,,28,,,,,,
A2,QUEGAR,0,,1,,,,,,
A3,UMBCAL,0,,7,,,,,,
A3,QUEGAR,0,,2,,,,,,
A4,UMBCAL,0,,7,,,,,,
A4,QUEGAR,1,,2,,,,,,
B4,UMBCAL,0,,3,,,,,,
B4,QUEGAR,0,,2,,,,,,
C4,UMBCAL,0,,10,,,,,,
C3,UMBCAL,0,,3,,,,,,
C1,UMBCAL,0,,33,,,,,,
C2,UMBCAL,0,,12,,,,,,
D2,UMBCAL,0,,11,,,,,,
D4,UMBCAL,0,,11,,,,,,
D1,UMBCAL,0,,18,,,,,,
D3,UMBCAL,0,,13,,,,,,
