Plot ID,PPW1305,,,,Sampler(s),"MFO, PDP",,,Date ,20150324
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A3,UMBCAL,2,,2,,,,,,
A2,UMBCAL,0,,2,,,,,,
A1,UMBCAL,2,,3,,,,,,
B1,UMBCAL,2,,6,,,,,,
C1,UMBCAL,2,,12,,,,,,
C1,QUEAGR,0,,1,,,,,,
C2,QUEAGR,0,,5,,,,,,
C2,UMBCAL,1,,7,,,,,,
B2,UMBCAL,1,,4,,,,,,
B3,UMBCAL,0,,3,,,,,,
B4,UMBCAL,0,,3,,,,,,
C3,UMBCAL,0,,5,,,,,,
C4,UMBCAL,0,,4,,,,,,
C4,QUEAGR,0,,1,,,,,,
D4,UMBCAL,7,,15,,,,,,
D4,QUEAGR,0,,1,,,,,,
D3,UMBCAL,0,,4,,,,,,
D2,UMBCAL,0,,8,,,,,,
D2,FRACAL,0,,1,,,,,,
D2,QUEAGR,0,,2,,,,,,
D1,UMBCAL,2,,24,,,,,,
D1,QUEAGR,0,,1,,,,,,
