Plot ID,PPW1336,,,,Sampler(s),"MFO,PDP,RLO",,,Date ,20150521
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,UMBCAL,0,,3,,,,,,
D1,QUEGAR,1,,4,,,,,,
C1,UMBCAL,0,,2,,,,,,
C1,QUEGAR,0,,1,,,,,,
D2,QUEGAR,3,,10,,,,,,
D2,UMBCAL,0,,2,,,,,,
C2,UMBCAL,0,,3,,,,,,
C2,QUEAGR,0,,1,,,,,,
D3,UMBCAL,1,,3,,,,,,
D4,QUEGAR,1,,0,,,,,,
C3,UMBCAL,0,,3,,,,,,
C3,QUEGAR,0,,3,,,,,,
C3,QUEAGR,0,,1,,,,,,
D4,UMBCAL,0,,1,,,,,,
D4,QUEGAR,0,,2,,,,,,
C4,QUEGAR,8,,10,,,,,,
B4,UMBCAL,0,,2,,,,,,
B4,QUEGAR,1,,8,,,,,,
A4,UMBCAL,0,,4,,,,,,
A4,QUEGAR,1,,1,,,,,,
A3,UMBCAL,0,,3,,,,,,
A3,QUEGAR,0,,3,,,,,,
B3,QUEGAR,2,,0,,,,,,
B3,UMBCAL,0,,2,,,,,,
A2,UMBCAL,0,,2,,,,,,
A2,QUEGAR,1,,3,,,,,,
B1,UMBCAL,0,,6,,,,,,
B1,QUEGAR,0,,10,,,,,,
A1,QUEGAR,8,,28,,,,,,
B1,QUEAGR,1,,0,,,,,,
