Plot ID,PPW1330,,,,Sampler(s),"MFO,PDP,RLO",,,Date ,20150521
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,UMBCAL,1,,1,,,,,,
D1,HETARB,0,,1,,,,,,
D1,PSEMEN,2,,0,,,,,,
D2,QUEAGR,0,,1,,,,,,
D2,FRACAL,1,,0,,,,,,
D3,PSEMEN,1,,0,,,,,,
D3,AMOCAL,0,,3,,,,,,
D3,UMBCAL,0,,1,,,,,,
D4,UMBCAL,1,,5,,,,,,
D4,QUEAGR,1,,0,,,,,,
D4,AMOCAL,0,,1,,,,,,
C4,UMBCAL,0,,2,,,,,,
C4,AMOCAL,0,,1,,,,,,
C3,AMOCAL,0,,1,,,,,,
C3,FRACAL,0,,1,,,,,,
C2,UMBCAL,0,,7,,,,,,
B3,UMBCAL,0,,3,,,,,,
B3,AMOCAL,0,,1,,,,,,
B3,PSEMEN,1,,0,,,,,,
B3,QUEAGR,0,,1,,,,,,
C1,FRACAL,0,,3,,,,,,
C1,UMBCAL,0,,7,,,,,,
B4,QUEAGR,0,,1,,,,,,
B4,FRACAL,0,,1,,,,,,
B4,UMBCAL,0,,1,,,,,,
B1,UMBCAL,0,,6,,,,,,
B1,QUEAGR,0,,2,,,,,,
B1,FRACAL,1,,0,,,,,,
B1,PSEMEN,2,,0,,,,,,
A4,UMBCAL,0,,19,,,,,,
B2,UMBCAL,0,,12,,,,,,
B2,QUEGAR,0,,4,,,,,,
B2,PSEMEN,3,,0,,,,,,
B2,FRACAL,0,,1,,,,,,
B2,QUEAGR,0,,1,,,,,,
A3,UMBCAL,0,,10,,,,,,
A3,FRACAL,1,,1,,,,,,
A2,QUEAGR,0,,1,,,,,,
A2,UMBCAL,0,,6,,,,,,
A2,AMOCAL,0,,1,,,,,,
A2,FRACAL,0,,1,,,,,,
A1,UMBCAL,0,,6,,,,,,
A1,FRACAL,0,,3,,,,,,
A1,PSEMEN,1,,0,,,,,,
