Plot ID,PPW1339,,,,Sampler(s),"MFO,ASC,PDP,NJP",,,Date ,20150519
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,0,,1,,,,,,
A1,QUEAGR,0,,1,,,,,,
A2,QUEAGR,0,,1,,,,,,
A2,UMBCAL,0,,2,,,,,,
A2,QUEDOU,0,,3,,,,,,
A3,UMBCAL,0,,2,,,,,,
A3,QUEAGR,0,,4,,,,,,
A3,QUEDOU,0,,2,,,,,,
A3,ARCMAN,0,,1,,,,,,
A4,QUEDOU,2,,1,,,,,,
A4,QUEAGR,0,,3,,,,,,
B4,QUEDOU,6,,12,,,,,,
B4,QUEAGR,0,,2,,,,,,
B4,HETARB,0,,1,,,,,,
B4,UMBCAL,0,,1,,,,,,
B3,QUEDOU,1,,2,,,,,,
B3,QUEAGR,2,,9,,,,,,
B3,PSEMEN,0,,1,,,,,,
B3,UMBCAL,0,,2,,,,,,
B2,UMBCAL,0,,2,,,,,,
B2,QUEAGR,0,,3,,,,,,
B1,QUEAGR,0,,2,,,,,,
B1,UMBCAL,0,,1,,,,,,
C1,UMBCAL,0,,8,,,,,,
C1,QUEDOU,0,,1,,,,,,
C1,QUEAGR,1,,7,,,,,,
C2,QUEAGR,0,,4,,,,,,
C2,UMBCAL,0,,4,,,,,,
C2,QUEDOU,0,,1,,,,,,
C3,HETARB,0,,1,,,,,,
C3,UMBCAL,0,,6,,,,,,
C3,QUEAGR,0,,1,,,,,,
C3,QUEDOU,0,,2,,,,,,
C4,QUEAGR,1,,2,,,,,,
C4,UMBCAL,0,,4,,,,,,
C4,QUEDOU,4,,4,,,,,,
D1,QUEAGR,0,,5,,,,,,
D1,UMBCAL,0,,3,,,,,,
D1,QUEDOU,0,,3,,,,,,
D2,QUEDOU,0,,2,,,,,,
D2,QUEAGR,0,,2,,,,,,
D3,QUEAGR,0,,1,,,,,,
D3,QUEDOU,0,,1,,,,,,
D3,UMBCAL,0,,1,,,,,,
D4,QUEDOU,4,,3,,,,,,
D4,QUEAGR,1,,0,,,,,,
D2,UMBCAL,0,,1,,,,,,
D1,ACEMAC,0,,1,,,,,,
