Plot ID,PPW1325,,,,Sampler(s),"MFO,PDP",,,Date ,20150518
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,ARBMEN,0,,1,,,,,,
A1,QUEDOU,0,,2,,,,,,
A1,UMBCAL,0,,1,,,,,,
A1,PSEMEN,0,,1,,,,,,
A2,UMBCAL,0,,2,,,,,,
A2,QUEAGR,0,,1,,,,,,
A3,QUEAGR,2,,0,,,,,,
A4,QUEDOU,3,,2,,,,,,
A4,QUEAGR,0,,1,,,,,,
A4,ARBMEN,0,,1,,,,,,
A4,HETARB,0,,1,,,,,,
B4,ARBMEN,0,,1,,,,,,
B3,QUEKEL,0,,1,,,,,,
B3,QUEDOU,2,,0,,,,,,
B3,ARBMEN,0,,1,,,,,,
B3,QUEAGR,0,,1,,,,,,
B3,HETARB,0,,1,,,,,,
B2,QUEDOU,0,,1,,,,,,
B2,QUEAGR,1,,2,,,,,,
B2,ARBMEN,0,,1,,,,,,
B1,QUEDOU,1,,0,,,,,,
B1,QUEAGR,1,,0,,,,,,
B1,PSEMEN,0,,1,,,,,,
C1,QUEDOU,2,,1,,,,,,
C1,PSEMEN,1,,0,,,,,,
C2,QUEDOU,1,,0,,,,,,
C2,QUEAGR,1,,1,,,,,,
C2,UMBCAL,1,,0,,,,,,
C3,QUEDOU,1,,2,,,,,,
C4,PSEMEN,0,,1,,,,,,
C4,QUEGAR,1,,1,,,,,,
C4,UMBCAL,1,,0,,,,,,
D4,QUEGAR,1,,0,,,,,,
D4,ARBMEN,0,,1,,,,,,
D3,QUEDOU,1,,3,,,,,,
D3,ARBMEN,0,,1,,,,,,
D2,QUEDOU,10,,7,,,,,,
D2,ARBMEN,0,,1,,,,,,
D2,QUEGAR,0,,1,,,,,,
D2,QUEAGR,0,,3,,,,,,
D1,QUEAGR,0,,1,,,,,,
D1,QUEDOU,4,,6,,,,,,
D1,QUEGAR,4,,3,,,,,,
D1,HETARB,1,,0,,,,,,
D1,ARBMEN,0,,1,,,,,,
D1,UMBCAL,0,,1,,,,,,
