Plot ID,PPW1337,,,,Sampler(s),"MFO, MJK",,,Date 
Notes,,,,,,,,,
,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,
A1,UMBCAL,1,,0,,,,,
A1,ARBMEN,1,,2,,,,,
A2,UMBCAL,0,,1,,,,,
A3,UMBCAL,0,,1,,,,,
B4,UMBCAL,0,,1,,,,,
B4,ARBMEN,0,,3,,,,,
B4,QUEKEL,0,,1,,,,,
B3,ARBMEN,1,,1,,,,,
B3,QUEAGR,0,,1,,,,,
B3,QUEKEL,1,,0,,,,,
B2,UMBCAL,0,,1,,,,,
B1,QUEKEL,1,,0,,,,,
B1,QUEAGR,1,,2,,,,,
B1,AESCAL,0,,1,,,,,
B1,UMBCAL,0,,1,,,,,
B1,PSEMEN,1,,0,,,,,
C1,UMBCAL,0,,2,,,,,
C1,QUEKEL,1,,0,,,,,
C2,ARBMEN,0,,5,,,,,
C2,PSEMEN,0,,1,,,,,
C2,QUEKEL,0,,1,,,,,
C2,PSEMEN,1,,0,,,,,
C2,QUEAGR,0,,1,,,,,
C3,UMBCAL,0,,2,,,,,
C3,PSEMEN,1,,0,,,,,
C4,ARBMEN,0,,5,,,,,
C4,QUEAGR,0,,1,,,,,
C4,PSEMEN,0,,2,,,,,
C4,AESCAL,0,,1,,,,,
D4,QUEAGR,0,,3,,,,,
D4,ARBMEN,0,,1,,,,,
D4,QUEKEL,1,,0,,,,,
D4,UMBCAL,0,,1,,,,,
D3,PSEMEN,1,,2,,,,,
D3,ARBMEN,0,,1,,,,,
D3,QUEAGR,0,,1,,,,,
D2,ARBMEN,0,,2,,,,,
D1,UMBCAL,0,,1,,,,,
