Plot ID,PPW1302,,,,Sampler(s),"MFO,ASC,NJP",,,Date ,20150519
Notes,,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,UMBCAL,0,,4,,,,,,
D1,QUEAGR,0,,2,,,,,,
D2,QUEAGR,0,,5,,,,,,
D3,QUEAGR,0,,6,,,,,,
D4,QUEAGR,0,,22,,,,,,
C4,QUEAGR,0,,2,,,,,,
C4,QUEGAR,0,,1,,,,,,
C3,QUEAGR,0,,1,,,,,,
C3,UMBCAL,0,,1,,,,,,
C2,QUEAGR,2,,10,,,,,,
C2,UMBCAL,0,,1,,,,,,
C1,QUEAGR,1,,1,,,,,,
C1,UMBCAL,0,,1,,,,,,
B1,QUEAGR,2,,4,,,,,,
B1,UMBCAL,0,,2,,,,,,
B1,QUEGAR,0,,1,,,,,,
B2,QUEAGR,4,,3,,,,,,
B2,UMBCAL,0,,1,,,,,,
B3,QUEAGR,3,,6,,,,,,
B4,QUEAGR,5,,16,,,,,,
B4,UMBCAL,0,,1,,,,,,
B4,QUEGAR,0,,3,,,,,,
A4,QUEAGR,0,,8,,,,,,
A4,UMBCAL,0,,1,,,,,,
A3,QUEAGR,2,,13,,,,,,
A3,QUEGAR,0,,3,,,,,,
A3,QUEDOU,0,,4,,,,,,
A3,QUELOB,0,,1,,,,,,
A2,UMBCAL,0,,2,,,,,,
A1,UMBCAL,0,,2,,,,,,
