Plot ID,PPW1325,Date,20130405,,Samplers,"MFO,MNB,MAP,PP,JAR",,,,
Notes,QUEDOU/QUEGAR HYBRID STAND?,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,526466,UTM-E:,526468,UTM-E:,526484,,UTM-E:,526486,,
UTM-N:,4270806,UTM-N:,4270824,UTM-N:,4270815,,UTM-N:,4270802,,
Pictures? (check if complete),,1,Slope,15,,Aspect ,35,,,
Quads Completed: ,,ALL,,,,,,,,
,Start Tag: ,,End Tag:,,,,,,,
Soil Depth (cm),,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,5,0,0,45,50,100,,
A2,0,0,0,0,30,70,100,,
A3,0,10,0,1,55,35,101,,
A4,0,5,0,0,65,30,100,,
B1,0,5,0,0,45,50,100,,
B2,0,5,0,0,35,65,105,,
B3,0,5,0,1,40,55,101,,
B4,0,5,0,0,45,50,100,,
C1,0,1,0,1,60,40,102,,
C2,0,1,0,0,65,35,101,,
C3,0,1,0,0,60,40,101,,
C4,0,5,0,0,70,25,100,,
D1,0,0,0,0,50,50,100,,
D2,0,0,0,0,55,45,100,,
D3,0,0,0,0,60,40,100,,
D4,0,0,0,0,65,35,100,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
