Plot ID,PPW1321,Date,20130307,,Samplers,"MNB, MFO, JEC",,,,
Notes,"QUEGAR open stand, fescue understory",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,524739,UTM-E:,524743,UTM-E:,524762,,UTM-E:,524754,,
UTM-N:,4269591,UTM-N:,4269600,UTM-N:,4269598,,UTM-N:,4269596,,
Pictures? (check if complete),,1,Slope,28.5,,Aspect ,224,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,2403,End Tag:,,,,,,,
Soil Depth (cm),,Return for soild depth,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,0,0,0,80,30,110,,
A2,0,0,0,1,75,40,116,,
A3,0,5,0,5,75,30,115,,
A4,0,0,0,0,65,35,100,,
B1,0,1,0,1,90,20,112,,
B2,0,1,0,1,80,25,107,,
B3,0,5,0,0,80,25,110,,
B4,0,1,0,0,75,35,111,,
C1,0,0,0,15,65,40,120,,
C2,0,1,0,1,60,40,102,,
C3,0,5,0,10,60,45,120,,
C4,0,0,0,5,40,55,100,,
D1,0,5,0,10,70,35,120,,
D2,0,0,0,0,50,50,100,,
D3,0,1,0,1,60,40,102,,
D4,0,0,0,10,50,60,120,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
