Plot ID,PPW 1344,Date,20130221,,Samplers,"MMJ, MFO, MNB",,,,
Notes,"S-facing, deciduous oak woodland. Note no Doug fir. Revisit: silver tags & soild depth",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,522872,UTM-E:,522875,UTM-E:,522892,,UTM-E:,522882,,
UTM-N:,4272878,UTM-N:,4272898,UTM-N:,4272892,,UTM-N:,4272868,,
Pictures? (check if complete),,1,Slope,24,,Aspect ,210,,,
Quads Completed: ,,All,,,,,,,,
,Start Tag: ,1713,End Tag:,1718,,,,,,
Soil Depth (cm),Return for soil depths,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,"Open oak woodland, just North of PG &E clearcut~ 10 metres",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,1,0,0,55,55,111,,
A2,0,5,0,0,40,75,120,,
A3,0,5,0,0,50,65,120,,
A4,0,15,5,0,40,70,130,,
B1,0,0,0,0,40,60,100,,
B2,0,1,5,1,30,80,117,,
B3,0,10,0,0,50,60,120,,
B4,10,10,1,0,50,45,116,,
C1,0,1,5,1,55,55,117,,
C2,0,1,0,5,45,55,106,,
C3,0,1,0,1,65,35,102,,
C4,0,1,0,0,70,35,106,,
D1,0,10,1,1,75,25,112,,
D2,0,1,0,1,80,30,112,,
D3,0,1,0,0,80,35,116,,
D4,0,1,1,0,75,30,107,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
