Plot ID,PPW1345,Date,201302028,,Samplers,"MMJ, MNB, MFO, MP, JF, GF",,,,
Notes,"Deciduous oak, Low elevation, Fescue, Manzanita, Toyon - Note: Not Doug Fir, Doug fir just upslope",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,523405,UTM-E:,523409,UTM-E:,523427,,UTM-E:,523421,,
UTM-N:,4272225,UTM-N:,4272245,UTM-N:,4272244,,UTM-N:,4272222,,
Pictures? (check if complete),,1,Slope,24,,Aspect ,78,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,,End Tag:,,,,,,,
Soil Depth (cm),Return for soil depths,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,5,0,0,40,65,110,,
A2,0,1,0,1,20,80,102,,
A3,0,5,0,0,60,40,105,,
A4,0,10,0,0,70,25,105,,
B1,0,1,0,0,35,55,91,ca. 10 % tree trunk,
B2,0,0,0,0,10,80,90,ca. 10 % tree trunk,
B3,0,1,0,0,30,50,81,ca. 20 % tree trunk,
B4,0,0,0,0,50,50,100,,
C1,0,1,0,0,40,60,101,,
C2,0,0,0,0,60,40,100,,
C3,0,1,0,0,25,75,101,opening,
C4,0,1,0,0,50,40,91,ca. 10 % tree trunk,
D1,0,1,0,0,35,55,91,ca. 10 % tree trunk,
D2,0,1,0,0,85,15,101,,
D3,0,1,0,0,75,25,101,,
D4,0,5,0,0,75,20,100,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
