Plot ID,PPW1315,Date,20130314,,Samplers,"MFO, MNB, JEC, MMJ",,,,
Notes,,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,524734,UTM-E:,524738,UTM-E:,524755,,UTM-E:,524750,,
UTM-N:,4271564,UTM-N:,4271585,UTM-N:,4271581,,UTM-N:,4271560,,
Pictures? (check if complete),,1,Slope,15,,Aspect ,337,,,
Quads Completed: ,,ALL,,,,,,,,
,Start Tag: ,27,End Tag:,,,,,,,
Soil Depth (cm),RETURN FOR SOIL DEPTH,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,1,0,1,50,50,102,,
A2,0,1,0,0,45,50,96,,
A3,0,5,0,1,40,60,106,,
A4,0,1,0,1,45,60,107,,
B1,0,1,0,0,50,50,101,,
B2,0,5,0,0,45,55,105,,
B3,0,10,0,0,50,50,110,,
B4,0,1,0,1,40,65,107,,
C1,0,1,0,0,40,60,101,,
C2,0,5,0,0,45,55,105,,
C3,0,1,0,0,40,60,101,,
C4,0,5,0,0,35,65,105,,
D1,0,5,0,0,40,65,110,,
D2,0,1,0,0,40,60,101,,
D3,0,0,0,0,45,55,100,,
D4,0,0,0,0,40,60,100,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
