Plot ID,PPW1329,Date,20130315,,Samplers,"MFO, MNB, JSF, PAP",,
Notes,"Thin- soil - Hilltop ridge QUEAGR stand, GPS points on unit",,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,524086,UTM-E:,524087,UTM-E:,524104,,UTM-E:,524100
UTM-N:,4271800,UTM-N:,4271815,UTM-N:,4271811,,UTM-N:,4271793
Pictures? (check if complete),,,Slope,See Notes,,Aspect ,See Notes,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,
C2SW(center)- ,,,,,,,,
Enviromental Notes: ,"Both a North slope and a South aspect, Ridge line runs from 140 degrees to 320 degrees, greatest slope for 3/4 of the plot is 24 degrees towards 15 degrees ",,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,5,0,0,45,60,110,
A2,0,5,0,1,15,85,106,
A3,0,5,15,5,15,80,120,
A4,0,1,20,5,25,60,111,
B1,0,1,0,1,15,85,102,
B2,0,1,25,10,15,65,116,
B3,0,1,15,10,20,70,116,
B4,0,1,5,0,40,55,101,
C1,0,5,10,5,10,80,110,
C2,0,0,20,5,25,60,110,
C3,0,1,5,1,30,65,102,
C4,0,5,5,1,40,55,106,
D1,0,10,20,5,15,65,115,
D2,0,1,5,1,25,75,107,
D3,0,10,0,1,40,50,101,
D4,0,15,15,1,15,70,116
