Plot ID,PPW1343,Date,20130222,,Samplers,"MFO, MNB, PP, JAR",,,,
Notes,Self thinning Doug fir,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,522956,UTM-E:,522962,UTM-E:,522976,,UTM-E:,522971,,
UTM-N:,4273410,UTM-N:,4273427,UTM-N:,4273420,,UTM-N:,4273407,,
Pictures? (check if complete),,1,Slope,26.5,,Aspect ,352,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,,End Tag:,,,,,,,
Soil Depth (cm),Return for soil depths,,,,,,,,,
B2SW-,2m ,B4SW-,2m,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,0,0,0,5,95,100,,
A2,0,5,0,0,1,95,101,,
A3,0,10,0,0,5,90,105,,
A4,0,10,0,1,10,90,111,,
B4,0,10,0,20,15,80,125,,
B3,0,15,0,25,5,70,115,,
B2,0,15,0,15,1,85,116,,
B1,0,5,0,0,10,85,100,,
C1,0,5,0,0,1,95,101,,
C2,0,5,0,0,1,95,101,,
C3,0,15,0,0,1,95,111,,
C4,0,10,0,1,10,90,111,,
D4,0,15,0,5,15,80,115,,
D3,0,5,0,0,5,95,105,,
D2,0,5,0,0,1,95,101,,
D1,0,1,0,5,1,95,102,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
