Plot ID,PPW1314,Date,20130301,,Samplers,"MFO, MNB, JAR, JSF, MAP, PP",,
Notes,"***Was incorrectly called PPW1314, not incorrect, changed back 20130811 MFO",,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,523238,UTM-E:,523251,UTM-E:,523270,,UTM-E:,523264
UTM-N:,4272549,UTM-N:,4272570,UTM-N:,4272570,,UTM-N:,4272546
Pictures? (check if complete),,1,Slope,23,,Aspect ,238,
Quads Completed: ,,,,,,,,
,Start Tag: ,1912,End Tag:,,,,,
Soil Depth (cm),Return for soild depths,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,
C2SW(center)- ,,,,,,,,
Enviromental Notes: ,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,0,0,5,90,25,120,
A2,0,5,1,5,80,25,116,
A3,0,1,0,15,80,30,126,
A4,0,5,0,0,40,70,115,
B1,0,1,0,1,95,20,117,
B2,0,5,0,5,75,35,120,
B3,0,5,0,0,40,70,115,
B4,0,5,0,1,40,70,116,
C1,0,1,0,1,90,25,117,
C2,0,10,0,0,80,30,120,
C3,0,15,0,0,40,55,110,
C4,0,1,0,0,55,55,111,
D1,0,0,0,0,85,35,120,
D2,0,5,0,0,65,40,110,
D3,0,1,0,0,30,80,111,
D4,0,10,0,0,55,65,130
