Plot ID,PPW1330,Date,20130329 & 20130412,,Samplers,"MFO,MNB,MAP,PP,AJR",,
Notes,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,523769,UTM-E:,523769,UTM-E:,523788,,UTM-E:,523785
UTM-N:,4271472,UTM-N:,41271485,UTM-N:,4271478,,UTM-N:,4271471
Pictures? (check if complete),,,Slope,24,,Aspect ,320,
Quads Completed: ,,,ON 29 ONLY SE+JU COUNTS IN A1&A2 ; FINISHED ON 12 ,,,,,
,Start Tag: ,3454,End Tag:,4062,,,,
Soil Depth (cm),,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,
C2SW(center)- ,,,,,,,,
Enviromental Notes: ,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,0,0,0,45,65,110,
A2,0,5,0,0,20,75,100,TRAIL SW TO NE
A3,0,0,0,0,10,90,100,
A4,0,1,0,0,30,70,101,LARGE DOWNED LIMB
B1,0,0,0,0,40,60,100,
B2,0,0,0,0,20,85,105,
B3,0,5,0,0,10,90,105,
B4,0,5,0,0,20,80,105,LOTS OF WOODY DEBRIS
C1,0,0,0,0,35,60,95,
C2,0,0,0,0,15,85,100,
C3,0,5,0,0,15,80,100,
C4,0,0,0,1,5,95,101,DEAD SNAGS OF VARIOUS SPP.
D1,0,5,0,0,25,80,110,
D2,0,1,0,0,15,85,101,DOWNED LIMB IN W OF PLOT
D3,0,1,0,0,10,90,101,
D4,0,0,0,0,10,90,100
