Plot ID,PPW1339,Date,20130308,,Samplers,"MFO, MNB, DDA, JAR, PP",,,,
Notes,"Moderate slope, large QUEAGR and QUEDEC",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,524901,UTM-E:,524907,UTM-E:,524923,,UTM-E:,524921,,
UTM-N:,4269863,UTM-N:,4269868,UTM-N:,4269817,,UTM-N:,4269855,,
Pictures? (check if complete),,,Slope,28,,Aspect ,246,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,2524,End Tag:,,,,,,,
Soil Depth (cm),Returm for soild depths,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,0,0,0,90,15,105,,
A2,0,5,0,0,75,25,105,,
A3,0,0,0,1,85,15,101,,
A4,0,1,0,0,75,35,111,,
B1,0,0,15,1,35,55,106,,
B2,0,0,0,0,75,35,110,,
B3,0,5,0,1,40,45,91,,
B4,0,0,0,0,50,50,100,,
C1,0,1,0,10,75,30,116,,
C2,0,1,0,10,40,60,111,,
C3,0,0,0,1,40,65,106,,
C4,0,5,10,0,65,30,110,,
D1,0,1,1,15,70,15,102,,
D2,0,0,0,15,65,30,110,,
D3,0,0,10,1,30,70,111,,
D4,0,0,15,1,60,35,111,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
