Plot ID,PPW1326,Date,20130227,,Samplers,"MFO,MNB,MMJ,KMG",,,,
Notes,,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,525165,UTM-E:,525167,UTM-E:,525190,,UTM-E:,525186,,
UTM-N:,4271385,UTM-N:,4271404,UTM-N:,4271401,,UTM-N:,4271388,,
Pictures? (check if complete),,1,Slope,25.5,,Aspect ,37,,,
Quads Completed: ,,ALL,,,,,,,,
,Start Tag: ,3501,End Tag:,,,,,,,
Soil Depth (cm),,RETURN FOR SOIL DEPTH,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,10,0,0,15,75,100,,
A2,0,5,0,0,10,85,100,,
A3,0,1,0,0,25,75,101,,
A4,0,1,0,0,25,75,101,,
B1,0,10,0,0,10,80,100,,
B2,0,5,0,0,10,85,100,,
B3,0,1,0,0,25,75,101,,
B4,0,1,0,0,15,85,101,,
C1,0,5,0,0,5,90,100,,
C2,0,10,0,0,10,80,100,,
C3,0,1,0,0,15,85,101,,
C4,0,1,0,0,5,95,101,,
D1,0,0,0,0,5,95,100,,
D2,0,1,0,0,2,98,101,,
D3,0,1,0,0,5,95,101,,
D4,0,0,0,0,5,95,100,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
