Plot ID,PPW1303,Date,20130405,,Samplers,"MFO, MNB, MAP, JAR, PP",,,,
Notes,"Open canopy QUEGAR, QUEAGR, QUEDOU",,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,526143,UTM-E:,526153,UTM-E:,526164,,UTM-E:,526156,,
UTM-N:,4269065,UTM-N:,4269081,UTM-N:,4269077,,UTM-N:,4269060,,
Pictures? (check if complete),,1,Slope,20,,Aspect ,137,,,
Quads Completed: ,,,,,,,,,,
,Start Tag: ,4040,End Tag:,4049,,,,,,
Soil Depth (cm),Return For Soil Depth,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,, RETURN WITH T-POSTS. Large stand of PSEMEN upslope with many ~ 2 meter tall individual. Rocky with UMBCAL on N side.,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,0,0,0,95,10,105,,
A2,0,0,0,0,90,20,110,,
A3,0,1,0,0,45,65,110,,
A4,0,5,0,0,65,45,100,,
B1,0,0,0,0,90,15,105,,
B2,0,0,0,0,95,10,105,,
B3,0,0,0,0,90,15,105,,
B4,0,0,0,0,95,10,105,,
C1,0,0,0,0,100,5,105,,
C2,0,0,0,0,95,10,105,,
C3,0,1,0,1,95,10,107,,
C4,0,0,5,0,95,10,110,,
D1,0,0,0,1,100,10,110,,
D2,0,0,0,0,100,5,105,,
D3,0,0,0,1,95,10,106,,
D4,0,1,0,5,65,35,106,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
