Plot ID,PPW1327,Date,20130417/20130424,,Samplers,"MFO, MNB",,
Notes,MIXED EVEREGREEN WOODLAND NEAR CHAPARREL COMMUNITY; STTEP ERODED UPPER SLOPE; Slope changed from 175 to 17.5 20130708 MFO,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,522912,UTM-E:,522916,UTM-E:,522938,,UTM-E:,522928
UTM-N:,4268880,UTM-N:,4268898,UTM-N:,4268879,,UTM-N:,4268870
Pictures? (check if complete),,,Slope,17.5,,Aspect ,186,
Quads Completed: ,,ALL,,,,,,
,Start Tag: ,4347,End Tag:,4486,,,,
Soil Depth (cm),,RETURN,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,
C2SW(center)- ,,,,,,,,
Enviromental Notes: ,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,1,0,5,60,35,101,
A2,0,5,0,1,30,65,101,
A3,0,1,0,5,45,50,101,
A4,0,5,0,5,25,65,100,
B1,0,1,5,1,70,25,102,
B2,0,1,10,1,75,15,102,
B3,0,1,1,15,40,45,102,
B4,0,10,1,5,20,65,101,
C1,0,5,1,5,75,15,101,
C2,0,1,30,5,45,20,101,
C3,0,0,25,10,35,30,100,
C4,0,15,5,15,35,35,105,
D1,0,0,10,5,65,30,110,
D2,0,1,5,15,60,20,101,
D3,0,10,0,15,25,55,105,
D4,0,20,10,10,20,45,105
