Plot ID,PPW1349,Date,20130405,,Samplers,"MFO,MNB,PP,MAP,JAR",,,,
Notes,CLOSED-CANOPY MIXED EVERGREEN WOODLAND WITH PSEMEN REMOVAL,,,,,,,,,
,,,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,,,
UTM-E:,526499,UTM-E:,526503,UTM-E:,526528,,UTM-E:,526518,,
UTM-N:,4270456,UTM-N:,427049,UTM-N:,4270460,,UTM-N:,4270446,,
Pictures? (check if complete),,1,Slope,11,,Aspect ,53,,,
Quads Completed: ,,ALL,,,,,,,,
,Start Tag: ,4015,End Tag:,4036,,,,,,
Soil Depth (cm),RETURN FOR SOIL DEPTH,,,,,,,,,
B2SW-,,B4SW-,,D2SW-,,,D4SW-,,,
C2SW(center)- ,,,,,,,,,,
Enviromental Notes: ,,"DENSE BLACK OAK WITH DISCONTINIOUS LOW POISON OAK COVER, ROCKY OUTCROP ON EDGE OF S-N PLOT",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes,
A1,0,1,0,0,10,95,106,,
A2,0,1,0,0,5,100,106,,
A3,0,0,0,0,15,90,105,,
A4,0,2,0,0,45,60,107,,
B1,0,1,0,0,15,90,106,,
B2,0,1,0,0,20,85,106,,
B3,0,1,0,0,40,70,111,,
B4,0,1,0,0,50,65,116,,
C1,0,1,0,0,30,80,111,,
C2,0,1,0,0,15,90,106,,
C3,0,0,0,0,25,80,105,,
C4,0,1,0,0,20,90,111,,
D1,0,1,0,0,45,60,106,,
D2,0,1,0,0,55,55,111,,
D3,0,1,0,0,65,45,111,,
D4,0,1,0,0,10,75,86,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
