Plot ID,   PPW1305,Date,20130207,,Samplers,"MNB, MFO, MMJ, JEC",,
Notes,,,,,,,,
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,526058,UTM-E:,526057,UTM-E:,526077,,UTM-E:,526077
UTM-N:,4269630,UTM-N:,4269646,UTM-N:,4269652,,UTM-N:,4269635
Pictures? (check if complete),,1,Slope,34,,Aspect ,28,
Quads Completed: ,,,,,,,,
,Start Tag: ,1047,End Tag:,1183,,,,
Soil Depth (cm),,,,,,,,
B2SW-,33,B4SW-,36,D2SW-,3,,D4SW-,47
C2SW(center)- ,62,,,,,,,
Enviromental Notes: ,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,5,65,15,1,35,121,
A2,0,5,40,20,5,45,115,
A3,0,1,60,10,20,35,126,
A4,0,0,65,15,25,30,125,
B4,0,0,20,5,15,65,105,
B3,0,0,35,10,20,35,100,
B2,0,1,65,10,10,35,121,
B1,0,5,45,5,20,30,105,
C1,0,5,40,5,30,45,125,
C2,0,5,25,1,15,65,111,
C3,0,1,20,5,25,50,101,
C4,0,0,35,10,30,25,100,
D4,0,0,1,10,20,70,101,
D3,0,0,40,5,20,50,115,
D2,0,0,35,5,35,25,100,
D1,0,0,30,5,35,30,100
