Plot ID,1311,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180625,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B1,TR,1263,,,QUEKEL,1,0,0,1,4,,,,23.9,,,,
B1,TR,1262,,,HETARB,1,0,0,1,5,,,,13.4,,,,
B1,TR,1262.1,,,HETARB,1,0,0,1,3,,,,10.1,,,,fixed typo 1261.1 qc 2022 mk
B1,TR,1262.2,,,HETARB,0,0,0,0,0,,,,6.8,,,,
B1,TS,1262.3,,,HETARB,1,0,,,,110.2,1.65,,,,,,
B1,TS,1262.4,,,HETARB,1,0,,,,117.3,1.09,,,,,,
B1,TR,1262.5,,,HETARB,1,0,0,1,4,,,,2.24,,,,
B1,TS,1262.6,,,HETARB,1,0,,,,155.6,1.03,,,,,,
B1,TS,1262.7,,,HETARB,1,0,,,,124.5,1.06,,,,,,
B1,TS,1262.8,,,HETARB,1,0,,,,73.4,1.09,,,,,,
B3,TR,1258,,,ARCMAN,1,0,0,1,4,,,,14.3,,,,
B3,TR,1258.1,,,ARCMAN,1,0,0,1,3,,,,10.9,,,,
B3,TR,1258.2,,,ARCMAN,1,0,0,1,2,,,,7.8,,,,
B3,TR,1258.3,,,ARCMAN,0,0,0,0,0,,,,10.9,,,,
B3,TR,1258.4,,,ARCMAN,0,0,0,0,0,,,,13.7,,,,
B3,TR,1258.5,,,ARCMAN,1,0,0,1,2,,,,12.4,,,,
B3,TR,1258.6,,,ARCMAN,1,0,0,1,1,,,,10.6,,,,
B3,TR,1258.7,,,ARCMAN,1,0,0,1,3,,,,10.2,,,,
A4,TR,1259,,,QUEDOU,1,0,1,0,0,,,,35.5,,,,
A4,TR,1259.1,,,QUEDOU,1,0,0,1,2,,,,29.1,,,,
A4,TR,1259.2,,,QUEDOU,1,0,0,1,4,,,,37.3,,,,
A4,TR,1260,,,ARCMAN,1,0,0,1,3,,,,8.8,,,,
A4,TR,1260.1,,,ARCMAN,0,0,0,0,0,,,,8.2,,,,
A4,TR,1261,,,ARCMAN,1,0,0,1,5,,,,3.45,,,,
A4,TR,1261.1,,,ARCMAN,1,0,0,1,5,,,,2.9,,,,
A4,SA,5586,,,HETARB,1,0,,,,72.6,1.33,2,,,,,
D4,TR,1270,,,QUEDOU,1,0,0,1,3,,,,30.1,,,,
C4,TR,1269,,,ARCMAN,1,0,0,1,3,,,,18.6,,,,
C4,TR,1269.1,,,ARCMAN,1,0,0,1,3,,,,15.5,,,,
C4,TR,1269.2,,,ARCMAN,1,0,0,1,3,,,,11.7,,,,
C4,TR,1268,,,QUEDOU,1,0,0,1,5,,,,38.8,,,,
C4,TR,1268.1,,,QUEDOU,1,0,0,1,4,,,,29.8,,,,
C4,TR,1268.2,,,QUEDOU,1,0,0,1,4,,,,23,,,,
C1,TR,1264,,,QUEDOU,1,0,0,1,4,,,,32.6,,,,
C1,TR,1264.1,,,QUEDOU,1,0,0,1,4,,,,26.1,,,,
D1,TR,1272,,,QUEDOU,1,0,0,1,3,,,,36.1,,,,
D2,TR,1271,,,QUEDOU,1,0,0,1,3,,,,29.3,,,,
D2,TR,1271.1,,,QUEDOU,0,0,0,0,0,,,,14.8,,,,
