Plot ID,1854,,Sampler(s),"MK,M,DK,AC",,,,,Date ,20180810,,,,,,,,,
Notes,deleting a 999 (dead at time of plot install) queagri TS  in c4 with a bsprout height of 7.1- mkqc2022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,6034,170,245,ARBMEN,0,1,0,0,0,,,,18.2,86.6,3,,,OG DEAD
A1,TR,6034.1,170,245,ARBMEN,0,1,0,0,0,,,,16.3,143.1,11,,,OD DEAD
A1,TR,6035,290,265,NOTDEN,0,1,0,0,0,,,,7.5,136.9,28,,,
A1,SA,6036,290,390,BACPIL,1,1,,,,51.1,0.45,2,,,,,,
B1,TR,6037,280,320,QUEAGR,0,1,0,0,0,,,,7.7,85.6,8,,,
B1,TR,6038,182,479,NOTDEN,0,1,0,0,0,,3.65,0,,95.7,9,,,TOO SHORT FOR DBH-STUMP
B1,SA,6039,90,300,BACPIL,1,0,,,,52,0.64,2,,,,,,
B1,TR,6040,330,143,UMBCAL,0,1,0,0,0,,,,12.9,258.4,18,,,
B1,TR,6040.1,331,143,UMBCAL,0,1,0,0,0,,,,13.7,254.1,31,,,
B1,TR,6040.2,238,143,UMBCAL,0,1,0,0,0,,,,6.22,255.1,22,,,
1,TR,99136,,,PSEMEN,0,0,0,0,0,,,,127.4,,,,,was 999.1- new number is proxy- no tag
D1,TR,6041,50,1,QUEAGR,0,1,0,0,0,,,,27.5,113.7,19,,,
D1,TR,6042,230,221,UMBCAL,0,1,0,0,0,,,,11.3,260.7,17,,,
D1,TR,6043,120,370,UMBCAL,0,1,0,0,0,,7.8,0,,202.5,22,,,TOO SHORT FOR DBH-STUMP
D2,TR,6044,499,205,NOTDEN,0,1,0,0,0,,6.17,0,,104.2,21,,,TOO SHORT FOR DBH-STUMP
