Plot ID,1852,,Sampler(s),"AC,MO,MK,KO",,,,,Date ,20180813,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,6077,1,185,UMBCAL,0,1,0,0,0,,,,22.6,282.8,67,,,
A4,TR,99024,,,PSEMEN,0,0,0,0,0,,,,12.2,,,,,
A4,TR,99025,,,PSEMEN,0,0,0,,0,,,,25.9,,,,,
A4,SA,6078,353,400,UMBCAL,0,1,,,,,,,,121.4,4,,,BD UNAVILABLE
B4,TR,99026,,,PSEMEN,0,0,0,0,0,,,,31.7,,,,,
B4,TR,99027,,,PSEMEN,0,0,0,0,0,,,,9.5,,,,,
B4,TR,99028,,,PSEMEN,0,0,0,0,0,,,,7.6,,,,,
B4,TR,99029,,,PSEMEN,0,0,0,0,0,,,,8.9,,,,,was typo- 1 in survival-mkqc2022
B4,TR,99030,,,PSEMEN,0,0,0,0,0,,,,10.8,,,,,
B4,TR,99031,,,PSEMEN,0,0,0,0,0,,,,7.7,,,,,
B4,TR,99032,,,PSEMEN,0,0,0,0,0,,,,6.61,,,,,
B4,TR,6079,300,190,QUEKEL,0,1,0,0,0,,,,25.8,138.3,1,,,
B4,SA,6092,370,100,BACPIL,1,0,,,,74,0.72,6,,,,,,NEW SA
C4,TR,6093,175,500,QUEGAR,0,1,0,0,0,,,,33.1,107.9,8,,,changed from quekel based on 2019 note- mkqc2022
C4,TR,99033,,,PSEMEN,0,0,0,0,0,,,,3.82,,,,,
C4,TR,99034,,,PSEMEN,0,0,0,0,0,,,,3.16,,,,,
C4,TR,99035,,,PSEMEN,0,0,0,0,0,,,,6.65,,,,,
C4,TR,99036,,,PSEMEN,0,0,0,0,0,,,,20.7,,,,,
C4,TR,6094,450,132,QUEKEL,0,0,0,0,0,,,,23.3,,,,,
C4,TR,99037,,,PSEMEN,0,0,0,0,0,,,,5.5,,,,,
C4,TR,99038,,,PSEMEN,0,0,0,0,0,,,,11.5,,,,,
D4,TR,99039,,,PSEMEN,0,0,0,0,0,,,,7.47,,,,,
D4,SA,6095,15,190,UMBCAL,0,1,,,,,1.9,0,,171.4,5,,,
D4,SA,6096,30,480,UMBCAL,0,1,,,,,,,,90.5,2,,,BD UNAVAILABLE
D3,TR,99040,,,PSEMEN,0,0,0,0,0,,,,6.54,,,,,
D3,SA,6097,301,499,UMBCAL,0,1,,,,,,,,96.6,1,,,BD UNAVAILABLE
D3,TR,99041,,,PSEMEN,0,0,0,0,0,,,,49.1,,,,,
D3,SA,6098,95,20,UMBCAL,0,1,,,,,,,,80.7,2,,,BD UNAVAILABLE
A1,TR,99042,,,PSEMEN,0,0,0,0,0,,,,6.6,,,,,
A1,SA,6201,260,455,UMBCAL,0,1,,,,,0.68,0,,40.1,0,,,"OG DEAD, BD @ 5CM"
A1,TR,99043,,,PSEMEN,0,0,0,0,0,,,,10.9,,,,,
A1,TR,99044,,,PSEMEN,0,0,0,0,0,,,,7.1,,,,,
A1,TR,99045,,,PSEMEN,0,0,0,0,0,,,,20.7,,,,,
A1,TR,99046,,,PSEMEN,0,0,0,0,0,,,,12.8,,,,,
A1,TR,99047,,,PSEMEN,0,0,0,0,0,,,,5,,,,,
A1,TR,99048,,,PSEMEN,0,0,0,0,0,,,,14.4,,,,,
A1,TR,99049,,,PSEMEN,0,0,0,0,0,,,,13.2,,,,,
A1,TR,6202,370,290,UMBCAL,0,1,0,0,0,,,,3.3,210.6,5,,,OG DEAD
B1,TR,99050,,,PSEMEN,0,0,0,0,0,,,,4.2,,,,,
B1,TR,99051,,,PSEMEN,0,0,0,0,0,,,,9.8,,,,,
B1,SA,6203,65,82,UMBCAL,0,1,0,0,0,,0.93,0,,46,0,,,"OG DEAD, BD @ 5CM"
B1,TR,99052,,,PSEMEN,0,0,0,0,0,,,,15.5,,,,,
B1,TR,99053,,,PSEMEN,0,0,0,0,0,,,,5.6,,,,,
B1,TR,99054,,,PSEMEN,0,0,0,0,0,,,,5.9,,,,,
B1,TR,99056,,,PSEMEN,0,0,0,0,0,,,,5.9,,,,,
B1,TR,99057,,,PSEMEN,0,0,0,0,0,,,,12.7,,,,,
B1,TR,99058,,,PSEMEN,0,0,0,0,0,,,,3.5,,,,,
B1,TR,6204,180,240,QUEKEL,0,1,0,0,0,,,,33.4,185.5,18,,,
B1,TR,6204.1,180,240,QUEKEL,0,1,0,0,0,,,,19.6,155.2,5,,,
B1,TR,6204.2,180,240,QUEKEL,0,1,0,0,0,,,,22.2,237,15,,,
B1,TR,6204.3,180,240,QUEKEL,0,1,0,0,0,,,,16.6,159.6,8,,,SNAG
B1,TR,6204.4,180,240,QUEKEL,0,1,0,0,0,,,,16.3,147.4,4,,,SNAG
B1,TR,6205,450,215,QUEKEL,0,1,0,0,0,,,,10.4,59.3,7,,,
B1,SA,6206,480,380,UMBCAL,0,1,,,,,1.62,0,,53.6,1,,,OG DEAD
C1,TR,99059,,,PSEMEN,0,0,0,0,0,,,,5.1,,,,,
C1,TR,6207,110,230,QUEKEL,0,0,0,0,0,,,,21.6,,,,,
C3,TR,99060,,,PSEMEN,0,0,0,0,0,,,,4.45,,,,,
C3,TR,99061,,,PSEMEN,0,0,0,0,0,,,,13.8,,,,,
C3,TR,99062,,,PSEMEN,0,0,0,0,0,,,,13.6,,,,,
C3,TR,99063,,,PSEMEN,0,0,0,0,0,,,,6.73,,,,,
C3,SA,6099,85,228,UMBCAL,0,1,,,,,,,,78.5,2,,,BD UNAVAILABLE
C3,SA,6100,110,158,UMBCAL,0,1,,,,,2.3,0,,65.1,2,,,BD @ 8CM
C3,SA,6220,256,15,UMBCAL,1,0,,,,98.3,1.03,3,,,,,,
B3,TR,99064,,,PSEMEN,0,0,0,0,0,,,,3.27,,,,,
B3,TR,99065,,,PSEMEN,0,0,0,0,0,,,,3.54,,,,,
B3,TR,99066,,,PSEMEN,0,0,0,0,0,,,,5.02,,,,,
B3,TR,99067,,,PSEMEN,0,0,0,0,0,,,,14.4,,,,,
B3,TR,99068,,,PSEMEN,0,0,0,0,0,,,,3.27,,,,,
B3,TR,99069,,,PSEMEN,0,0,0,0,0,,,,2.5,,,,,
