Plot ID,1324,,Sampler(s),AC MO MK KO,,,,,Date ,20180702,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
D1,SA,2738,,,PSEMEN,0,0,,,,,2.32,0,,,,0,
D2,SA,2734,,,PSEMEN,0,0,,,,,2.14,0,,,,0,
D2,TR,2737,,,QUEKEL,1,1,1,0,1,,,,17.2,,,0,
D2,TR,2736,,,QUEKEL,1,1,0,1,3,,,,24.8,,,0,
D2,TR,2735,,,QUEKEL,1,0,0,1,4,,,,40.1,,,0,
A1,SA,5602,219,88,UMBCAL,0,1,,,,,0.8,0,,52,1,0,
A1,SA,2694,,,PSEMEN,0,0,,,,,2.35,0,,,,0,
D3,TR,2733,,,QUEAGR,1,0,0,1,3,,,,14.3,,,0,
A1,SA,5601,3,74,UMBCAL,0,1,,,,,0.77,,,20,0,0,
A1,SA,2713,,,UMCAL,0,1,,,,,2.1,3,,45,0,0,
D3,TR,2732,,,QUEAGR,0,0,0,0,0,,,,22.1,,,0,
D4,TR,2731,,,QUEAGR,1,0,0,1,4,,,,12.8,,,0,
D4,TR,2731.1,,,QUEAGR,1,0,0,1,4,,,,13,,,0,
D4,SA,2730,,,PSEMEN,0,0,,,,,1.22,0,,,,0,
D4,SA,2729,,,PSEMEN,0,0,,,,,1.52,0,,,,0,
C4,SA,2728,,,PSEMEN,0,0,,,,,1.38,0,,,,0,
C3,TR,2727,,,QUEAGR,1,0,1,1,4,,,,45.4,,,0,
C3,TR,2726,,,QUEGAR,1,0,0,1,4,,,,51.4,,,0,
B4,TR,2725,,,QUEKEL,1,0,0,1,3,,,,31.8,,,0,
A4,SA,2724,,,PSEMEN,0,0,,,,,2.53,0,,,,0,
A3,TR,2723,,,QUEKEL,1,1,0,1,2,,,,14.2,59.8,1,0,
A3,TR,2722,,,ARBMEN,1,1,0,1,3,,,,37,,,0,
A3,TR,2722.1,,,ARBMEN,1,1,0,1,3,,,,28.2,,,0,
A4,SA,5608,30,300,ARBMEN,0,1,,,,,0.68,0,,20.2,0,0,
A2,TR,2721,,,QUEGAR,1,0,0,1,4,,,,45.3,,,0,
