Plot ID,PPW1310,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180619,,,,,,,,,
Notes,RETURN TO OFFLOAD HOBO AND LICHEN  AND DO HECTARE DOT AND C.C. 96 OR 16??   MORE IN A2 IN B2(floating note bottom of page),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B1,TR,1230,,,QUEGAR,1,0,0,1,4,,,,33.5,,,0,,
A1,TR,1222,,,QUEGAR,1,0,1,1,3,,,,29,,,0,,
D1,TR,1242,,,QUEDOU,1,0,0,1,2,,,,7.5,,,0,,
C1,TR,1232,,,QUEGAR,1,0,0,1,2,,,,25.5,,,0,,
C1,TR,1232.1,,,QUEGAR,1,0,1,1,2,,,,26.5,,,0,,
B2,TR,1233,,,QUEGAR,1,0,0,1,3,,,,24,,,0,,
D2,TR,1240,,,QUEDOU,1,0,0,1,2,,,,16,,,0,,was quegar- chNGING to match other years 
A4,TR,1223,,,QUEGAR,1,0,1,1,2,,,,19.2,,,0,,
A4,TR,1224,,,QUEGAR,1,0,1,1,3,,,,18.3,,,0,,
D3,TR,1239,,,QUEDOU,1,0,1,1,3,,,,10.5,,,0,,
D1,TR,1243,,,QUEDOU,0,0,0,0,0,,,,2.5,,,0,,
B4,TR,1225,,,QUEGAR,1,0,1,1,3,,,,36,,,0,,
A1,TR,1222.1,,,QUEGAR,1,0,1,1,2,,,,18.2,,,0,,
D3,TR,1237,,,QUEDOU,1,0,1,1,2,,,,5.5,,,0,,
C3,TR,1238,,,QUEDOU,1,0,1,1,2,,,,9.3,,,0,,
C4,TR,1236,,,QUEGAR,1,0,1,1,4,,,,26.7,,,0,,
C1,SA,1231,,,CERBET,0,0,,,,80.4,0.62,,,,,0,,
B2,TR,1228,,,ARCMAN,0,0,0,0,0,,,,9.3,,,0,,
B2,TR,1228.1,,,ARCMAN,0,0,0,0,0,,,,4.2,,,0,,
B2,TR,1228.2,,,ARCMAN,0,0,0,0,0,,,,6.5,,,0,,BARK SPLIT-DBH COULD BE UNDERESTIMATED
B2,TR,1228.3,,,ARCMAN,0,0,0,0,0,,,,3.1,,,0,,
B2,SA,1229,,,CERBET ,0,0,,,,216.5,1.95,0,,,,0,,
C2,SA,1241,,,CERBET ,0,1,,,,,0.86,0,,66.6,,0,,was o/-chaged to 0/1 based on 2019
B2,SA,1235,,,CERBET ,0,1,,,,,0.23,0,,38.2,,0,,TOP IS DEAD SO UNDER 50CM
B2,SA,1234,,,CERBET ,0,1,,,,,0.54,0,,63.5,,0,,was o/-chaged to 0/1 based on 2019
A2,SA,1227,,,ARCMAN ,0,0,,,,101.3,2.21,0,,,,0,,(mkqc2023-why is there a height on this if its dead?)
B2,TR,1226,,,QUEDEC,0,0,0,0,0,,,,,,,,,MK ADDED/ NOT ON OG DATASHEET- mkqc2022
