Plot ID,1321,,Sampler(s),"MK, MO, KO, AC",,,,,Date ,20180726,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,SA,2350,,,UMBCAL,0,1,,,,,1.8,0,,81.6,1,0,,OG dead
A1,SA,2353,,,CERBET,0,1,,,,,0.67,2,,44.4,0,0,,OG dead
A1,SA,2352,,,UMBCAL,0,0,,,,,,,,,,1,,Gone
A1,SA,2351,,,FRACAL,0,0,,,,,,,,,,1,,Gone
A1,SA,99324,,,UMBCAL,0,0,,,,,1.45,0,,,,0,,
A1,SA,5850,480,500,FRACAL,0,1,,,,,0.65,0,,41.3,0,0,,OG dead
A2,SA,2354,,,UMBCAL,0,0,,,,,1.58,0,,,,0,,
A2,SA,2358,,,UMBCAL,0,1,,,,,1.5,0,,95.5,2,0,,OG dead
A3,SA,2359,,,UMBCAL,0,1,,,,,2.05,1,,76.6,1,0,,OG dead
A2,SA,2355,,,UMBCAL,0,0,,,,,,,,,,0,,Tag not found
A2,SA,5851,360,140,UMBCAL,0,1,,,,,1.33,0,,46.5,0,0,,"BD@3, OG dead"
A2,TR,2356,,,QUEGAR,1,0,0,1,4,,,,26.6,,,0,,
A2,TR,2357,,,QUEGAR,0,1,0,0,0,,,,,50,1,0,,Burned down
A3,SA,2360,,,UMBCAL,0,1,,,,,1.43,0,,62.8,2,0,,
A3,SA,2361,,,UMBCAL,0,1,,,,,1.06,0,,69.3,2,0,,
A3,SA,2362,,,UMBCAL,0,1,,,,,1.3,0,,35.1,0,0,,
A3,SA,2364,,,UMBCAL,0,1,,,,,1.18,0,,17.6,0,0,,
A3,SA,5852,120,342,UMBCAL,0,1,,,,,0.96,0,,42.4,0,0,,OG dead
A3,SA,2365,,,ARBMEN,0,1,,,,,1.75,0,,38.5,0,0,,
A3,SA,2366,,,UMBCAL,0,1,,,,,1.59,0,,58,1,0,,"OG dead, BD@7"
A3,TR,2363,,,ARBMEN,1,1,0,1,4,,,,46.2,,,0,,
A4,SA,2368,,,UMBCAL,0,0,,,,,0.92,0,,,,0,,
A3,SA,2373,,,FRACAL,0,0,,,,,,,,,,0,,Tag not found
A3,SA,2367,,,UMBCAL,0,0,,,,,,,,,,0,,Tag not found
A4,SA,2371,40,125,FRACAL,0,1,,,,,1,0,,51.9,2,0,,OG dead
A4,SA,5853,59,216,UMBCAL,0,1,,,,,0.78,0,,46.8,0,0,,OG dead
A4,SA,2372,,,UMBCAL,0,1,,,,,1.8,0,,89,3,0,,OG dead
A4,TR,2374,,,QUEGAR,1,0,1,1,2,,,,22.6,,,0,,
A4,SA,2375,,,UMBCAL,0,1,,,,,,,,57.7,1,0,,"OG dead, burned to ground"
A4,SA,2376,,,UMBCAL,0,1,,,,,1.29,1,,77.3,4,0,,OG dead
A4,SA,5854,,,UMBCAL,0,1,,,,,,,,77.4,1,0,,"OG dead, gone"
A4,SA,2370,,,UMBCAL,0,0,,,,,,,,,,1,,Gone
A4,SA,2369,,,UMBCAL,0,0,,,,,,,,,,0,,"Gone, not found"
B1,SA,5855,370,320,UMBCAL,0,1,,,,,1.13,0,,53.8,1,0,,OG dead
B1,TR,2403,,,QUEGAR,1,0,1,1,4,,,,26.5,,,0,,Needs new tag
B1,SA,2404,,,FRACAL,0,0,,,,,0.58,0,,,,0,,2402 in DB
B1,SA,5856,32,77,FRACAL,0,1,,,,,0.72,0,,32,0,0,,OG dead
B1,SA,5857,139,89,UMBCAL,0,1,,,,,0.69,0,,38.3,0,0,,OG dead
B2,SA,2402,,,PSEMEN,0,0,,,,,2.11,0,,,,0,,
B2,SA,2401,,,PSEMEN,0,0,,,,,1.7,2,,,,0,,
B2,SA,5858,433,149,FRACAL,1,0,,,,60.7,0.62,4,,,,0,,
B3,SA,2400,,,UMBCAL,0,1,,,,,1.43,0,,76.4,2,0,,
B3,SA,2399,,,UMBCAL,0,0,,,,,1.29,0,,,,0,,
B3,SA,5859,34,142,ARBMEN,0,1,,,,,0.71,0,,33.1,0,0,,OG dead
B3,SA,2391,,,UMBCAL,0,1,,,,,1.35,0,,80.2,1,0,,OG dead
B3,SA,2392,,,FRACAL,0,0,,,,,,,,,,0,,"Gone, tag not found"
B3,SA,2393,,,UMBCAL,0,1,,,,,1.29,0,,76.3,2,0,,OG dead
B3,SA,5860,410,430,UMBCAL,0,1,,,,,1.02,0,,67,2,0,,OG dead
B3,SA,2396,,,UMBCAL,0,1,,,,,0.98,0,,52,1,0,,
B3,SA,2397,,,QUEAGR,0,0,,,,,,,,,,1,,Gone
B3,SA,2398,,,UMBCAL,0,0,,,,,,,,,,0,,"Gone, not found"
B4,TR,2387,,,QUEAGR,1,0,0,1,2,,,,13,,,0,,
B4,TR,2387.1,,,QUEAGR,1,0,1,1,2,,,,14.8,,,0,,
B4,SA,2386,,,FRACAL,0,0,,,,,,,,,,1,,Gone
B4,SA,5861,142,52,FRACAL,1,0,,,,59,0.4,2,,,,0,,
B4,SA,2385,,,UMBCAL,0,1,,,,,1.85,0,,88.5,3,0,,OG dead
D1,SA,5945,313,14,UMBCAL,0,1,,,,,0.72,1,,50.5,1,0,,OG dead
D1,SA,2476,109,311,UMBCAL,0,1,,,,,1.13,0,,57.3,2,0,,
D1,SA,2482,,,AMOCAL,0,1,,,,,1.64,0,,73.5,16,0,,
D1,SA,2481,,,AMOCAL,0,1,,,,,1,0,,65.5,11,0,,"OG dead, gone"
D2,SA,2466,,,AMOCAL,0,1,,,,,,,,69.1,17,1,,Dead/Gone
D1,SA,2483,,,FRACAL,0,0,,,,,,,,,,0,,
D2,SA,2473,,,AMOCAL,0,1,,,,,1.41,0,,75,12,0,,
D1,SA,2474,,,UMBCAL,0,1,,,,,0.61,2,,37.7,0,0,,
D1,TR,2475,,,QUEKEL,1,0,0,1,2,,,,14.7,,,0,,Dead/gone
D1,SA,2480,,,AMOCAL,0,1,,,,,,,,81.4,9,0,,OG dead
D1,SA,2477,,,FRACAL,0,1,,,,,0.57,0,,18.1,0,0,,
D2,TR,2462,,,QUEKEL,1,0,0,1,2,,,,16.8,,,0,,
D2,SA,2461,,,AMOCAL,0,1,,,,,1.63,1,,80,23,0,,
