Plot ID,1315,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180705,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2799,,,QUEGAR,1,0,0,1,3,,,,32.3,,,0,,
A1,TR,2797,,,QUEGAR,1,0,0,1,3,,,,17.7,,,0,,
A1,TR,2800,,,QUEGAR,1,0,0,1,3,,,,27.1,,,0,,
A1,TR,2687,,,QUEGAR,1,1,0,1,4,,,,21.5,,,0,,
A2,TR,2804,,,QUEGAR,1,0,1,1,3,,,,20.6,,,0,,
A2,TR,2805,,,QUEGAR,1,0,1,1,2,,,,24.8,,,0,,
A3,TR,2806,,,QUEGAR,1,0,0,1,5,,,,13.6,,,0,,
A3,TR,2806.1,,,QUEGAR,1,0,0,1,4,,,,3.47,,,0,,
A4,TR,2809,,,QUEGAR,1,0,1,1,5,,,,22.4,,,0,,
A3,TR,2807,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE
A3,SA,2808,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE
B4,TR,2811,,,QUEGAR,1,0,1,1,4,,,,15.7,,,0,,
B4,SA,2810,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE
C4,TR,2826,,,PSEMEN,0,0,0,0,0,,5.19,0,2.07,,,0,,
B3,TR,2812,,,QUEGAR,1,0,1,1,4,,,,18.8,,,0,,
B3,TR,2813,,,QUEGAR,1,0,1,1,1,,,,18.7,,,0,,
B3,TR,2814,,,QUEGAR,1,0,1,1,3,,,,26.1,,,0,,
C3,TR,2820,,,QUEGAR,0,0,0,0,0,,,,13.5,,,0,,
C3,TR,2821,,,QUEGAR,1,0,1,1,4,,,,12.1,,,0,,
C3,TR,2822,,,QUEGAR,1,0,0,1,3,,,,17.1,,,0,,
C3,TR,2823,,,QUEGAR,1,1,1,1,2,,,,11.7,,,0,,
B1,TR,2815,,,UMBCAL,1,1,0,1,4,,,,14.7,85,10,0,,
B1,TR,2815.1,,,UMBCAL,0,1,0,0,0,,,,8.57,100.5,12,0,,
B1,TR,2815.2,,,UMBCAL,1,0,0,1,1,,,,1.79,,,0,,
B1,TR,2815.3,,,UMBCAL,1,0,0,1,4,,,,2.67,,,0,,
B1,TS,2815.4,,,UMBCAL,0,0,,,,,1.39,0,,,,0,,
C1,TR,2818,,,QUEGAR,1,0,0,1,4,,,,17.6,,,0,,
C1,TR,2817,,,QUEGAR,1,1,0,1,3,,,,28.2,,,0,,
D2,TR,2835,,,QUEGAR,1,0,0,1,3,,,,12.9,,,0,,
D2,TR,2837,,,QUEGAR,1,0,0,1,4,,,,15.8,,,0,,
D2,TR,2836,,,QUEGAR,1,0,0,1,4,,,,26.8,,,0,,
D2,TR,2838,,,QUEGAR,1,1,1,1,2,,,,15.2,,,0,,
D2,TR,2834,,,QUEGAR,1,0,0,1,2,,,,17.1,,,0,,
D3,TR,2833,,,QUEGAR,1,0,0,1,3,,,,29.6,,,0,,
D3,TR,2832,,,QUEGAR,1,0,0,1,4,,,,18.2,,,0,,
D3,SA,2831,,,PSEMEN,1,0,,,,191,3.5,0,0.7,,,0,,
D4,TR,2827,,,QUEGAR,0,0,0,0,0,,,,12.1,,,0,,
D4,TR,2828,,,QUEGAR,1,0,0,1,3,,,,18.5,,,0,,
D4,TR,2829,,,QUEGAR,1,0,0,1,4,,,,19.4,,,0,,
D4,TR,2830,,,QUEGAR,0,0,,,,,,,,,,0,,DEAD/GONE
C4,TR,2825,,,QUEGAR,1,1,0,1,4,,,,20,,,0,,
C4,SA,2824,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD/GONE
C1,TR,2816,,,UMBCAL,1,1,1,1,3,,,,11.6,,,0,,
C1,TS,2816.1,,,UMBCAL,0,0,,,,,1.26,0,,,,0,,
C3,TR,2819,,,QUEGAR,0,0,0,0,0,,,,,,,0,,DEAD/GONE
C1,SA,5612,485,320,ARBMEN,0,1,,,,,0.58,1,,32,0,0,,
D1,SA,5613,22,150,ARBMEN,0,1,,,,,0.78,1,,33.5,0,0,,
