Plot ID,1853,,Sampler(s),"MK,KO,AC,MO,DK",,,,,Date ,20180814,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,6236,245,185,UMBCAL,0,1,0,0,0,,,,24.9,252.5,16,,,og dead
A1,TR,6236.1,,,UMBCAL,0,0,0,0,0,,,,6.7,,,,,
A1,TR,6236.2,,,UMBCAL,0,0,0,0,0,,,,29.8,,,,,
A1,TR,6237,245,140,UMBCAL,0,1,0,0,0,,,,16.2,283.7,13,,,og dead
A1,TR,6237.1,,,UMBCAL,0,0,0,0,0,,,,11.4,,,,,
A1,TR,6237.2,,,UMBCAL,0,0,0,0,0,,,,10.3,,,,,
A1,TR,6237.3,,,UMBCAL,0,0,0,0,0,,,,14.3,,,,,
A1,TR,6238,245,170,UMBCAL,0,1,0,0,0,,,,13.2,241.2,10,,,og dead
A1,TR,6238.1,,,UMBCAL,0,0,0,0,0,,,,6,,,,,
A1,TR,99094,,,PSEMEN,0,0,0,0,0,,,,2.53,,,,,
A2,SA,6239,26,98,BACPIL,1,0,,,,58.4,0.52,3,,,,,,
A3,TR,6240,5,75,UMBCAL,0,1,0,0,0,,,,13.8,249,16,,,og dead
A3,TR,6241,340,375,UMBCAL,0,1,0,0,0,,,,13.9,329,20,,,og dead
A3,TR,6241.1,,,UMBCAL,0,1,0,0,0,,,,9.4,296.1,12,,,
A3,TR,6242,472,457,QUEKEL,0,0,0,0,0,,,,28.6,,,,,
A3,TR,99095,,,PSEMEN,0,0,0,0,0,,,,4.37,,,,,
A4,TR,99096,,,PSEMEN,0,0,0,0,0,,,,2.14,,,,,
A4,TR,99097,,,PSEMEN,0,0,0,0,0,,,,1.5,,,,,
A4,TR,99098,,,PSEMEN,0,0,0,0,0,,,,2.58,,,,,
A4,TR,99099,,,PSEMEN,0,0,0,0,0,,,,6.57,,,,,
A4,SA,6243,147,143,BACPIL,1,0,,,,51.2,0.58,5,,,,,,
D2,TR,6244,375,28,QUEAGR,1,0,1,0,1,,,,39.1,,,,,
D2,SA,6245,543,341,CEACUN,1,0,,,,50.1,0.37,0,,,,,,
D2,TR,99100,,,PSEMEN,0,0,0,0,0,,,,3.22,,,,,
D2,TR,99101,,,PSEMEN,0,0,0,0,0,,,,3.85,,,,,
D3,TR,99102,,,PSEMEN,0,0,0,0,0,,,,2.3,,,,,
D3,TR,99103,,,PSEMEN,0,0,0,0,0,,,,4.56,,,,,
D3,TR,99104,,,PSEMEN,0,0,0,0,0,,,,19.8,,,,,
C1,TR,99105,,,PSEMEN,0,0,0,0,0,,,,4.78,,,,,
C1,TR,6257,185,14,UMBCAL,0,1,0,0,0,,,,12.2,260.3,13,,,
C1,TR,6257.1,185,14,UMBCAL,0,1,0,0,0,,,,14.5,230,4,,,
C1,TR,6257.2,185,14,UMBCAL,0,1,0,0,0,,,,5.84,234.4,8,,,
C1,TR,6257.3,185,14,UMBCAL,0,1,0,0,0,,,,2.44,205,6,,,
C1,TR,6257.4,185,14,UMBCAL,0,1,0,0,0,,,,4.04,250.1,4,,,
C1,TR,6257.5,185,14,UMBCAL,0,1,0,0,0,,,,3.34,217.5,7,,,
C1,TR,6257.6,185,14,UMBCAL,0,1,0,0,0,,,,5.96,206.5,8,,,
C1,TR,99106,,,PSEMEN,0,0,0,0,0,,,,3.6,,,,,
C1,TR,6258,410,345,UMBCAL,0,1,0,0,0,,,,11.2,232.3,38,,,
C1,TR,99107,,,PSEMEN,0,0,0,0,0,,,,6.1,,,,,
C1,SA,6259,60,30,CEATHY,1,0,,,,60.4,0.26,8,,,,,,
C2,TR,99108,,,PSEMEN,0,0,0,0,0,,,,3.63,,,,,
C2,TR,99109,,,PSEMEN,0,0,0,0,0,,,,2.91,,,,,
C2,TR,99110,,,PSEMEN,0,0,0,0,0,,,,1.31,,,,,
C2,TR,6260,290,399,QUEAGR,1,0,1,0,1,,,,40.3,,,,,
C2,TR,6261,70,165,UMBCAL,0,1,0,0,0,,,,11.1,262.2,22,,,
C2,TR,6261.1,,,UMBCAL,0,0,0,0,0,,,,11.3,,,,,
C2,TR,6261.2,,,UMBCAL,0,1,0,0,0,,,,9.3,274.8,13,,,
C3,TR,99111,,,PSEMEN,0,0,0,0,0,,,,3.4,,,,,
C3,TR,99112,,,PSEMEN,0,0,0,0,0,,,,3.15,,,,,
C3,TR,99113,,,PSEMEN,0,0,0,0,0,,,,2.74,,,,,
C3,TR,99114,,,PSEMEN,0,0,0,0,0,,,,24.2,,,,,
C3,TR,6262,175,405,UMBCAL,0,1,0,0,0,,,,3.17,130.1,8,,,
C3,TR,6263,470,167,QUEKEL,0,1,0,0,0,,,,25.2,161.2,53,,,
C3,TR,6263.1,470,167,QUEKEL,0,1,0,0,0,,,,8.1,89.3,3,,,
C4,TR,6264,127,273,QUEAGR,1,1,1,0,1,,,,20.6,73.5,7,,,
C4,TR,6265,45,216,QUEAGR,0,1,0,0,0,,,,8.49,100.2,4,,,
D3,TR,6246,60,172,UMBCAL,0,1,0,0,0,,,,3,187.6,7,,,tag on loop
D3,SA,99115,,,PSEMEN,0,0,,,,,1.4,0,,,,,,
D3,TR,99116,,,PSEMEN,0,0,0,0,0,,,,34,,,,,
D3,TR,6247,159,65,UMBCAL,0,1,0,0,0,,,,7.5,243.1,6,,,
D3,TR,6247.1,,,UMBCAL,0,1,0,0,0,,,,4.19,254,10,,,
D3,TR,6247.2,,,UMBCAL,0,0,0,0,0,,,,6.73,,,,,
D3,TR,6248,310,295,UMBCAL,0,1,0,0,0,,,,12.2,281.9,12,,,
D3,TR,6248.1,,,UMBCAL,0,0,0,0,0,,,,8.32,,,,,
D3,TR,6248.2,,,UMBCAL,0,0,0,0,0,,,,5.26,,,,,
D3,TR,6248.3,,,UMBCAL,0,1,0,0,0,,,,7.96,254.8,22,,,
D4,TR,99117,,,PSEMEN,0,0,0,0,0,,,,3.12,,,,,
D4,TR,99118,,,PSEMEN,0,0,0,0,0,,,,3.45,,,,,
D4,TR,99119,,,PSEMEN,0,0,0,0,0,,,,4.02,,,,,
D4,SA,6249,468,482,UMBCAL,1,1,,,,,0.72,0,,28.5,0,,,og dead
