Plot ID,PPW1336,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180716,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A3,TR,2905,,,QUEAGR,1,1,1,1,2,,,,10.1,,,0,,
A3,TR,2903,,,QUEAGR,1,0,0,1,3,,,,22.4,,,0,,
A3,TR,2902,,,QUEGAR,1,0,0,1,2,,,,38.1,,,0,,
A3,TR,2902.1,,,QUEGAR,1,0,0,1,1,,,,31.6,,,0,,"TAG MISSING, WAS QUEAGRI- NOTE IN 2019 SAYS TO CHANGE- MKQC2022"
A3,SA,2906,,,PSEMEN,1,0,,,,,1.82,0,,,,0,,
A4,TR,2911,,,QUEAGR,1,0,1,1,4,,,,38.8,,,0,,
A3,TR,2904,,,QUEAGR,0,0,0,0,0,,,,,,,0,,GONE
A4,TR,2910,,,QUEAGR,1,1,1,1,3,,,,14.3,,,0,,was misenetered as gar-mkqc2022
A4,TR,2910.1,,,QUEAGR,0,0,0,0,0,,1.03,0,1.41,,,0,,was typo UMBCAL but clearly agri on scan
A4,TR,2909,,,QUEGAR,1,0,1,1,3,,,,24.3,,,0,,was misenetered as agri-mkqc2022
A4,SA,2907,,,UMBCAL,0,0,,,,,,,,,,0,,was misenetered as agri-mkqc2022
A4,TR,2908,,,QUEAGR,0,0,0,0,0,,,,11.5,,,0,,
A4,TR,2908.1,,,QUEAGR,0,0,0,0,0,,,,1.13,,,0,,
A4,TR,2908.2,,,QUEAGR,0,0,0,0,0,,,,2.1,,,0,,was misenetered as gar-mkqc2022
A4,TR,2908.3,,,QUEAGR,0,0,0,0,0,,,,1.66,,,0,,was misenetered as gar-mkqc2022
B4,TR,2913,,,QUEGAR,0,0,0,0,0,,,,9.34,,,0,,
B4,TR,2912,,,QUEGAR,1,0,1,1,4,,,,39.3,,,0,,
C4,SA,2925,,,UMBCAL,0,1,,,,,2.09,0,,52.1,1,0,,OG DEAD
D4,TR,2926,,,QUEAGR,1,0,1,1,3,,16.6,0,,,,0,,
D3,TR,2927,,,QUEAGR,1,1,1,1,4,,,,15.2,57,1,0,,
D1,SA,5717,132,115,UMBCAL,0,1,,,,,1.49,0,,47,0,0,,OG DEAD 
D1,SA,5718,45,40,UMBCAL,0,1,,,,,1.36,0,,30.5,0,0,,OG DEAD 
D1,SA,5719,90,40,UMBCAL,0,1,,,,,1.45,0,,65.5,1,0,,OG DEAD 
B1,SA,5699,325,112,UMBCAL,0,1,,,,,0.46,0,,57.6,2,0,,"OG DEAD, DD@ 8.5"
C1,SA,5720,390,240,UMBCAL,0,1,,,,,0.83,0,,51,1,0,,OG DEAD 
C1,TR,2920,,,QUEGAR,1,0,0,1,2,,,,27.9,,,0,,
C1,TR,2919,,,QUEAGR,1,0,1,1,2,,,,33.5,,,0,,
C1,TR,2918,,,QUEGAR,1,1,0,1,2,,,,25.4,71.4,3,0,,NEW TAG
B1,TR,2917,,,QUEAGR,0,1,0,0,0,,,,8.42,,,0,,OG DEAD
B1,TR,2917.1,,,QUEAGR,0,0,0,0,0,,,,6.1,,,0,,
B1,TR,2917.2,,,QUEAGR,0,0,0,0,0,,,,,,,0,,GONE
B1,TR,2916,,,QUEGAR,0,0,0,0,0,,,,13.1,,,0,,NEW TAG 
C3,SA,5591,280,440,UMBCAL,0,1,,,,,0.48,2,,16.9,,0,,OG DEAD
B1,TR,2915,,,QUEAGR,1,0,0,1,2,,,,29.1,,,0,,NEW TAG 
B1,TR,2915.1,,,QUEAGR,1,0,1,1,1,,,,20.5,,,0,,NEW TAG 
A2,TR,2901,,,QUEAGR,0,0,0,0,0,,,,15.3,,,0,,NEW TAG 
A2,SA,5721,366,232,UMBCAL,0,1,,,,,0.95,1,,44.3,,0,,OG DEAD
B3,SA,2914,,,PSEMEN,0,0,,,,,2.25,0,,,,0,,
C3,TR,2923,,,QUEAGR,0,0,0,0,0,,,,,,,0,,GONE 
C3,TR,2923.1,,,QUEAGR,0,0,0,0,0,,,,,,,0,,GONE 
C3,TR,2922,,,QUEAGR,0,0,0,0,0,,,,48.9,,,0,,
C3,SA,2924,,,UMBCAL,0,0,,,,,2.91,0,,,,0,,
C2,TR,2921,,,QUEAGR,0,0,1,0,0,,,,36.1,,,0,,"NEW TAG, SNAG"
C2,SA,2928,,,PSEMEN,0,0,,,,,,,,,,0,,GONE
