Plot ID,1312,,Sampler(s),"MO,MK,AC,KO",,,,,Date ,20180620,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,TR,1556,,,ARBMEN,1,0,0,1,4,,,,44,,,0,,was typo 1565
D4,TR,1556.1,,,ARBMEN,1,0,0,1,5,,,,48.2,,,0,,was typo 1565
D4,TR,1547,,,ARBMEN,1,0,0,1,2,,,,6.5,,,0,,
B4,SA,1414,,,PSEMEN,1,0,,,,101,10,0,,,,0,,
D3,TR,1557,,,ARBMEN,1,0,0,1,2,,,,11.5,,,0,,
C4,TR,1546,,,QUEAGR,1,0,0,1,5,,,,18.2,,,0,,
C4,TR,1546.1,,,QUEAGR,1,0,0,1,4,,,,18.9,,,0,,
C4,TR,1546.2,,,QUEAGR,1,0,0,1,4,,,,18.6,,,0,,
D4,TR,1546.3,,,QUEAGR,1,0,0,1,3,,,,21.9,,,0,,
D3,SA,1549,,,UMBCAL,1,0,,,,62,0.82,0,,,,0,,
B4,SA,5501,7,329,PSEMEN,1,0,,,,64.3,0.5,0,,,,0,,NEW SA
B4,SA,1377,,,HETARB,1,0,,,,125.7,0.87,2,,,,0,,
B4,SA,1382,,,ARBMEN,1,0,,,,93.7,1.22,2,,,,0,,
B4,TR,1378,,,QUEAGR,1,1,0,1,3,,,,19.3,87.4,1,0,,
B4,SA,1372,,,ARBMEN,1,0,,,,160.4,2.21,1,,,,0,,
B4,SA,1380,,,UMBCAL,1,0,,,,165.5,1.58,1,,,,0,,
B4,SA,1360,,,PSEMEN,1,0,,,,176.6,1.98,1,,,,0,,
B4,SA,1394,,,QUEAGR,1,0,,,,84.2,0.57,0,,,,0,,
B4,SA,1374,,,UMBCAL,1,0,,,,157,1.52,0,,,,0,,
B4,SA,1393,,,QUEAGR,1,0,,,,200,1.86,0,,,,0,,
B4,SA,1373,,,UMBCAL,1,0,,,,88.5,1.65,1,,,,0,,
B4,SA,1386,,,ARBMEN,1,0,,,,117.4,0.91,1,,,,0,,
B4,SA,1387,,,HETARB,1,0,,,,132.9,1.26,5,,,,0,,
B4,SA,5503,248,292,UMBCAL,1,0,,,,65.4,0.88,1,,,,0,,NEW SA
B4,SA,1388,,,ARBMEN,1,0,,,,79,0.78,2,,,,0,,
B4,SA,1391,,,QUEAGR,0,0,,,,73,0.56,0,,,,0,,NOT ATTATCHED TO GROUND
B4,SA,1395,,,ARBMEN,1,0,,,,75.8,0.64,0,,,,0,,MORE LIKE B3
B4,SA,1375,,,ARBMEN,1,0,,,,60.1,0.78,0,,,,0,,
C3,SA,1542,,,UMBCAL,1,0,,,,122.7,1.13,0,1,,,0,,
C4,TR,1543,,,HETARB,1,0,0,1,4,,,,1.83,,,0,,
C3,SA,1592,,,QUEAGR,1,0,,,,73.6,1.02,0,,,,0,,
C4,TR,1543.1,,,HETARB,1,0,0,1,,,,,0.8,,,0,,
C4,TR,1700,,,UMBCAL,1,0,0,1,5,,,,1.7,,,0,,
C4,SA,1553,,,PSEMEN,1,0,,,,199.6,1.52,0,,,,0,,
C4,SA,1550,,,HETARB,1,0,,,,117.9,0.53,1,,,,0,,
C4,TR,1552,,,HETARB,1,0,0,1,5,,,,1.25,,,0,,
C4,SA,5502,,,UMBCAL,1,0,,,,74.9,0.73,0,,,,0,,
C4,SA,1544,,,UMBCAL,1,0,,,,85.7,0.6,0,,,,0,,
C4,TR,1554,,,UMBCAL,1,0,0,1,5,,,,1.64,,,0,,
C4,SA,1551,,,HETARB,0,0,,,,0,0,0,,,,0,,
C4,SA,5506,13,476,UMBCAL,1,0,,,,115.8,0.73,0,,,,0,,
C4,SA,5505,485,321,UMBCAL,1,0,,,,57.6,0.64,0,,,,0,,
C4,SA,5504,272,319,UMBCAL,1,0,,,,96.6,1.01,0,,,,0,,
C3,TR,1535,,,QUEAGR,1,0,0,1,5,,,,26.2,,,0,,
C3,SA,1536,,,QUEAGR,1,0,,,,123.8,0.8,2,,,,0,,
C3,SA,1537,,,QUEAGR,1,0,,,,57.5,0.7,0,,,,0,,
C3,SA,1539,,,QUEAGR,1,0,,,,80.4,0.75,0,,,,0,,
C3,TR,1538,,,QUEAGR,1,0,0,1,1,,,,1.29,,,0,,WAS SA NOW TR
C3,TR,1538.1,,,QUEAGR,0,0,0,0,0,,,,0.91,,,0,,WAS SA NOW TR
C3,SA,1541,,,HETARB,1,0,,,,161,0.83,6,,,,0,,
C3,TR,1545,,,HETARB,1,0,0,1,4,,,,2.3,,,0,,
C3,TR,1545.1,,,HETARB,1,0,0,1,1,,,,2,,,0,,
C3,TR,1545.2,,,HETARB,1,0,0,1,4,,,,0.6,,,0,,
C3,SA,1540,,,QUEAGR,1,0,,,,44.5,0.5,0,,,,0,,
C3,SA,5508,472,211,UMBCAL,1,0,,,,65,0.54,0,,,,0,,
B4,SA,1392,,,ARBMEN,1,0,,,,113,1.01,0,,,,0,,
B4,SA,1346,,,HETARB,1,0,,,,59.3,0.39,0,,,,0,,
B4,SA,1376,,,QUEAGR,1,0,,,,46,0.38,0,,,,0,,
B4,SA,1390,,,UMBCAL,1,0,,,,131.2,1.66,0,,,,0,,
B4,SA,1389,,,UMBCAL,1,0,,,,287,2.53,0,,,,0,,
B4,SA,5507,425,488,UMBCAL,1,0,,,,84.3,0.45,0,,,,0,,
B4,SA,1371,,,HETARB,1,0,,,,161.9,1.31,0,,,,0,,
B4,SA,1370,,,QUEAGR,1,0,,,,44,0.52,0,,,,0,,
B4,SA,5509,493,342,UMBCAL,1,0,,,,72.8,0.56,0,,,,0,,
B4,SA,5510,483,343,QUEAGR,1,0,,,,71.1,0.62,0,,,,0,,
A4,SA,1350,,,UMBCAL,1,0,,,,97.1,0.8,0,,,,0,,
A4,TR,1385,,,QUEAGR,1,0,0,1,4,,,,52.1,,,0,,
A4,TR,1385.1,,,QUEAGR,1,0,0,1,4,,,,71.5,,,0,,
A4,SA,1383,,,HETARB,1,0,,,,138.8,0.56,0,,,,0,,
A4,SA,1384,,,UMBCAL,1,0,,,,195.2,2.75,0,,,,0,,
A4,SA,5513,362,435,PSEMEN,1,0,,,,126.6,8.4,0,,,,0,,
