Plot ID,1331,,Sampler(s),AC MO MK KO,,,,,Date ,20180702,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
C1,TR,2688,,,PSEMEN,0,0,0,0,0,,,,6.3,,,0,,
C1,TR,2686,,,PSEMEN,0,0,0,0,0,,,,,,,1,,DEAD AND GONE TAG RECOVERED
C2,TR,2689,,,PSEMEN,1,0,0,1,3,,,,30,,,0,,
C2,TR,2691,,,HETARB,0,1,0,0,0,,,,9.6,68.8,9,0,,
B4,TR,2668,,,QUEAGR,1,0,0,1,3,,,,35.4,,,0,,
B4,TR,2669,,,PSEMEN,0,0,0,0,0,,,,4.1,,,0,,
B3,SA,2670,,,UMBCAL,0,0,,,,,1.4,0,,,,0,,
B3,SA,2671,,,UMBCAL,0,0,,,,,1.3,0,,,,0,,
B2,TR,2673,,,PSEMEN,1,0,0,1,4,,,,17.5,,,0,,
B2,SA,2674,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD AND GONE  
B2,SA,2675,,,UMBCAL,0,0,,,,,0.97,0,,,,0,,
B2,TR,2678,,,QUEGAR,0,1,0,0,0,,,,,83.2,2,0,,"DEAD AND DOWNED, TAG NOT FOUND"
B2,SA,2672,,,UMBCAL,0,0,,,,,1,0,,,,0,,DEAD
B2,SA,99390,,,UMBCAL,0,0,,,,,1,0,,,,0,,"NEW DEAD SA- (tag 5607 also in 1330- but then here it says pulled in 2019- maybe tag was never put out? Should have been 999 anyway, can change this is 18 and 19 and just leave the 5607 to 1330- no change- Ok- changing to 99601-mkqc22)"
B1,TR,2684,,,PSEMEN,1,0,0,1,4,,,,15.4,,,0,,
B1,TR,2685,,,QUEAGR,1,1,1,1,2,,,,26,,0,0,,
B1,SA,5605,,,UMBCAL,0,0,,,,,0.67,1,,,,0,,NEW DEAD SA- should have been 999
B1,TR,2705,,,PSEMEN,0,0,0,0,0,,,,4.7,,,0,,
B1,TR,2679,,,QUEAGR,1,0,0,1,4,,,,25.6,,,0,,
B1,TR,2680,,,QUEAGR,1,0,1,1,4,,,,30.9,,,0,,
B1,TR,2682,,,QUEAGR,1,0,1,1,2,,,,10.1,,,0,,
B1,TR,2682.1,,,QUEAGR,0,0,0,0,0,,,,,,,0,,DEAD AND GONE
B1,SA,2683,,,UMBCAL,0,0,,,,,1.3,0,,,,0,,DEAD
B1,SA,2663,,,QUEAGR,0,0,,,,,,,,,,0,,DEAD AND GONE
B1,SA,2681,,,PSEMEN,0,0,,,,,1.5,0,,,,0,,
B1,SA,5603,,,ARBMEN,0,0,,,,,0.91,0,,,,0,,NEW DEAD SA- should have been 999
B1,SA,5604,,,UMBCAL,0,0,,,,,1.1,0,,,,0,,NEW DEAD SA- should have been 1000
B1,TR,2677,,,PSEMEN,0,0,0,0,0,,,,,,,1,,DEAD AND GONE TAG RECOVERD
D1,TR,2717,,,PSEMEN,1,0,0,1,2,,,,27.8,,,0,,
D1,SA,2719,,,UMBCAL,0,1,,,,,1.56,0,,77.9,1,0,,OG DEAD
D1,SA,2720,,,PSEMEN,0,0,,,,,1.57,0,,,,0,,
D1,SA,2715,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE
D1,SA,2716,,,QUEAGR,0,0,,,,,,,,,,0,,DEAD AND GONE 
D1,SA,2718,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE
D2,TR,2690,,,QUEAGR,0,0,0,0,0,,,,68.4,,,0,,
D2,TR,2714,,,PSEMEN,0,0,0,0,0,,2.38,0,1.47,,,0,,
C2,TR,2691.1,,,HETARB,0,1,0,0,0,,,,2.1,69,6,0,,
C2,TR,2691.2,,,HETARB,0,0,0,0,0,,,,,,,0,,DEAD AND GONE
D2,SA,2711,,,PSEMEN,0,0,,,,,1.98,0,,,,0,,
D2,SA,2712,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD AND GONE TAG RECOVERED
D3,SA,2709,,,ARBMEN,0,1,,,,,2.74,0,,36.5,0,0,,
D3,SA,2710,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE
C4,SA,2706,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE- was misrecorded as arbmen- mkqc2022
C4,SA,2703,,,UMBCAL,0,1,,,,,2.5,0,1.25,,,0,,
C4,TR,2707,,,HETARB,0,0,0,0,0,,,,2.6,,,0,,
C4,TR,2707.1,,,HETARB,0,1,0,0,0,,,,1.65,78.6,4,0,,
C4,TS,2707.4,,,HETARB,0,0,,,,,1.53,0,,19.4,0,0,,
C4,TR,2707.2,,,HETARB,0,0,0,0,0,,,,,,,1,,DEAD AND GONE TAG RECOVERED
C4,TR,2707.3,,,HETARB,0,0,0,0,0,,,,,,,1,,DEAD AND GONE TAG RECOVERED
C4,TR,2708,,,PSEMEN,0,0,0,0,0,,,,4.95,,,0,,
C4,SA,2676,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD AND GONE TAG RECOVERED- make sure not there in 2019
C4,TR,5606,,,PSEMEN,1,0,0,1,3,,,,48.8,,,0,,NEW  
C3,SA,2696,,,UMBCAL,0,0,,,,,2.82,0,,,,0,,
C3,TR,2695,,,QUEAGR,1,0,1,1,3,,,,30.5,,,0,,
C3,TR,2701,,,PSEMEN,1,0,0,1,4,,,,48.8,,,0,,
C3,TR,2693,,,PSEMEN,1,0,0,1,3,,,,47.7,,,0,,
C3,SA,2699,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE 
C3,SA,2698,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE 
C3,SA,2697,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE 
C3,SA,2692,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD AND GONE TAG RECOVERED
C3,SA,2702,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD AND GONE
C3,SA,2700,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD AND GONE TAG RECOVERED
A1,SA,2662,,,UMBCAL,0,1,,,,,1,,,67,1,0,,
A1,TR,2661,,,PSEMEN,0,0,0,0,0,,,,4.2,,,0,,
