Plot ID,1318,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180703,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,4430,,,QUEGAR,1,0,0,1,4,,,,48,,,0,,
A1,TR,4430.1,,,QUEGAR,1,0,0,1,3,,,,40.7,,,0,,
A1,TR,4430.2,,,QUEGAR,1,0,0,1,3,,,,47.3,,,0,,
A1,TR,4430.3,,,QUEGAR,1,0,0,1,3,,,,42.5,,,0,,
B2,TR,4503,,,QUEGAR,1,0,0,1,4,,,,22.2,,,0,,
B3,TR,4502,,,QUEGAR,1,1,0,1,4,,,,40.2,,,0,,
A3,TR,4500,,,QUEAGR,0,0,0,0,0,,,,,,,0,,DEAD/GONE
A4,TR,4501,,,QUEAGR,0,0,0,0,0,,,,44.6,,,0,,
A4,TR,4501.1,,,QUEAGR,1,0,1,1,4,,,,42.5,,,0,,
D4,TR,4507,,,QUEAGR,1,1,1,1,2,,,,35.1,,,0,,
D4,TR,4506.1,,,QUEKEL,0,0,0,0,0,,,,37.4,,,0,,HALF OF TRUNK BURNED
D4,TR,4506,,,QUEKEL,0,0,0,0,0,,,,,,,0,,DEAD/GONE
D4,TR,4506.2,,,QUEKEL,0,0,0,0,0,,,,,,,0,,DEAD/GONE
D1,TR,4504,,,QUEGAR,1,1,0,1,3,,,,49.2,,,0,,
D1,SA,4505,,,QUEAGR,0,1,,,,,2.36,0,,96.5,1,0,,
D1,SA,5618,380,420,QUEGAR,0,1,,,,34.4,0.66,2,,,,0,,changing to 0/1 based on height - this is a resprout not a recruit or it would be over 50cm- mkqc2024
