Plot ID,1305,,Sampler(s),AC/MK/MO/KO,,,,,Date ,20180723,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,1047,,,HETARB,0,1,0,0,0,,,,7.4,137.4,41,0,,
A1,TR,1047.1,,,HETARB,0,0,0,0,0,,,,4.9,,,0,,
A1,TS,1047.2,,,HETARB,0,0,,,,,4.6,0,2.63,,,0,,
A2,TR,1048,,,UMBCAL,1,1,1,0,2,,,,14.9,66.2,1,0,,
A2,TR,1050,,,UMBCAL,1,1,1,0,2,,,,21.1,167.1,9,0,,
A2,TR,1050.1,,,UMBCAL,1,0,1,0,2,,,,19.2,,,0,,
A2,TS,1050.2,,,UMBCAL,0,1,,,,,2.3,0,,71,1,0,,OG DEAD 
A2,TR,1050.3,,,UMBCAL,0,1,0,0,0,,2.7,0,2.2,121.2,6,0,,OG DEAD NOW A TR
A2,TR,1052,,,HETARB,0,0,0,0,0,,,,4.7,126,6,0,,
A2,TR,1052.1,,,HETARB,0,0,0,0,0,,,,4.3,,,0,,
A2,TR,1052.2,,,HETARB,0,1,0,0,0,,5.4,0,2.1,91.4,7,0,,
A2,TS,1052.3,,,HETARB,0,1,,,,,5.8,0,0.9,95.5,6,0,,
A2,TS,1052.4,,,HETARB,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
A3,TR,1054,,,HETARB,0,1,0,0,0,,,,3.7,97.5,5,0,,
A3,TR,1054.1,,,HETARB,0,0,0,0,0,,2.7,0,2.1,,,0,,
A3,TR,1054.2,,,HETARB,0,0,0,0,0,,3.9,0,1.7,,,0,,
A3,TR,1054.3,,,HETARB,0,1,0,0,0,,,,5.08,143.5,7,0,,
A3,TR,1053,,,QUEAGR,1,0,0,1,4,,,,48,,,0,,
A4,SA,5828,380,370,UMBCAL,0,1,,,,,0.9,0,,11.2,,0,,NEW SA OG DEAD
A4,TR,1055,,,UMBCAL,1,1,1,1,3,,,,33.5,136.2,6,0,,
A4,TR,1055.1,,,UMBCAL,0,1,0,0,0,,,,8.5,99.8,2,0,,
A4,TR,1055.2,,,UMBCAL,0,1,0,0,0,,,,5.59,119.4,4,0,,
A4,TR,1055.3,,,UMBCAL,0,1,0,0,0,,,,4.9,142.7,3,0,,
A4,TR,1055.5,,,UMBCAL,0,0,0,0,0,,3.1,0,2.1,,,0,,
A4,SA,1056,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
B4,SA,1058,,,QUEAGR,0,0,,,,,2.5,0,,,,0,,
B4,SA,1057,,,UMBCAL,0,1,,,,,1.05,0,,28.3,,0,,OG DEAD 
A2,SA,1049,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
C1,SA,1083,,,ARBMEN,0,1,,,,,1.93,0,,15.8,,0,,
C1,SA,5873,237,413,UMBCAL,0,1,,,,,0.95,0,,25,,0,,NEW SA OG DEAD
C1,TR,1075,,,QUEAGR,1,0,1,1,5,,,,53.1,,,0,,
C1,SA,1077,,,UMBCAL,0,0,,,,,1.25,0,,,,1,,DEAD/GONE TAG RECOVERED
C1,SA,1074,,,UMBCAL,0,0,,,,,2.84,0,,,,0,,
C1,SA,5874,345,3,UMBCAL,0,1,,,,,,,,60.3,2,0,,NEW SA OG DEAD
C1,SA,1076,,,UMBCAL,0,0,,,,,0.78,0,,,,1,,DEAD/GONE TAG RECOVERED
C1,SA,1079,,,UMBCAL,0,1,,,,,1.16,0,,56.6,1,0,,
C1,SA,1080,,,UMBCAL,0,0,,,,,1.08,0,,,,0,,
C1,SA,1078,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
D1,TR,1182,,,QUEAGR,1,0,1,1,3,,,,32.2,,,0,,
C1,SA,99298,,,UMBCAL,0,0,,,,,1.33,0,,,,0,,
D1,SA,1180,,,UMBCAL,0,1,,,,,1.52,0,,37.9,,0,,OG DEAD
D1,SA,1183,,,UMBCAL,0,0,,,,,1.2,0,,,,0,,
D1,SA,1181,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
D1,SA,1184,,,UMBCAL,0,0,,,,,1.26,0,,,,0,,
D2,TR,1188,,,UMBCAL,0,1,,,,,2.56,0,1,108.7,4,0,,BD OF OG
D2,SA,1189,,,UMBCAL,0,1,,,,,1.41,0,,60.5,1,0,,OG DEAD
D2,SA,1185,,,ARBMEN,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
D2,SA,1186,,,QUEAGR,0,1,,,,,,,,25.7,,0,,OG DEAD BD UNAVAILABLE
D2,SA,1190,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
D2,SA,1187,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
C2,TR,1084,,,QUEAGR,1,0,1,1,2,,,,36,,,0,,
C3,TR,1085,,,QUEAGR,0,1,,,,,4.45,0,2.1,122,2,0,,
C3,SA,5875,225,381,UMBCAL,0,1,,,,,0.47,0,,54.2,,0,,"NEW SA  - changed to 0/1 and moved ht- only deemed ""alive"" bc over 50cm- no way they survved the fire these are resprouts -mkqc2024"
C4,TR,1086,,,QUEAGR,0,1,,,,,,,5.4,78.2,6,0,,
C4,SA,5876,165,265,UMBCAL,0,1,,,,,0.84,0,,90.5,,0,,"NEW SA  - changed to 0/1 and moved ht- only deemed ""alive"" bc over 50cm- no way they survved the fire these are resprouts -mkqc2024"
C4,SA,1088,,,QUEAGR,0,0,,,,,1.68,0,,,,0,,
B4,SA,99299,,,UNK,0,0,,,,,1.27,0,,,,0,,
B3,TR,1060,,,UMBCAL,0,1,0,0,0,,,,2.16,119,5,0,,
B3,TR,1059,,,QUEAGR,1,0,1,1,3,,,,23.7,,,0,,
B3,SA,1066,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
B3,SA,1062,,,QUEAGR,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
B3,SA,1063,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
