Plot ID,1851,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180815,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A4,TR,999.1,,,PSEMEN,0,0,0,0,0,,4.09,0,3.311,,,,
A4,TR,999.2,,,PSEMEN,0,0,0,0,0,,4.9,0,2.99,,,,
A4,SA,6272,228,269,UMBCAL,0,1,,,,,,,,89.5,1,,BD UNAVAILABLE
A3,TR,999.3,,,PSEMEN,0,0,0,0,0,,93.5,0,82.9,,,,
A2,TR,6273,338,500,ARBMEN,0,0,0,0,0,,86,0,4.5,,,,
A2,TR,999.4,,,PSEMEN,0,0,0,0,0,,,,56,,,,
A2,TR,6274,50,150,UMBCAL,0,1,0,0,0,,5.65,0,,157.4,8,,TOO SHORT FOR DBH
A1,TR,6275,315,230,QUEAGR,0,1,0,0,0,,,,,78.5,7,,SNAG- NO MEASUREMENTS
A1,TR,999.5,,,PSEMEN,0,0,0,0,0,,45.2,0,38.7,,,,
A1,SA,6276,345,160,UMBCAL,0,1,,,,,,,,106.1,11,,BD UNAVAILABLE
A1,TR,6277,425,90,QUEAGR,0,1,0,0,0,,35.5,0,33.9,118.7,9,,NOTE NOT LEDGIBLE - DBH @ 1.35M?
B4,TR,999.6,,,PSEMEN,0,0,0,0,0,,3.49,0,2.67,,,,
B4,TR,999.7,,,PSEMEN,0,0,0,0,0,,2.74,0,2.05,,,,
B4,TR,999.8,,,PSEMEN,0,0,0,0,0,,2.81,0,1.31,,,,
B4,TR,999.9,,,PSEMEN,0,0,0,0,0,,7.75,0,4.67,,,,
B4,TR,999.11,,,PSEMEN,0,0,0,0,0,,4.51,0,3.14,,,,
B4,TR,6278,310,275,UMBCAL,0,1,0,0,0,,3.37,0,1.96,142.3,13,,
B4,SA,6279,162,405,QUEAGR,1,0,,,,82.6,0.64,5,,,,,
B4,SA,6280,152,390,UMBCAL,0,1,0,,,,,,,109.4,4,,BD UNAVAILABLE
B4,SA,6281,107,480,UMBCAL,0,1,,,,,,,,109.9,4,,BD UNAVAILABLE
B4,SA,6282,300,245,QUEAGR,0,1,,,,,,,,40.6,0,,BD UNAVAILABLE
B4,SA,6283,408,92,QUEAGR,0,1,,,,,0.4,0,6.7,64.8,1,,BD @ 5CM
B4,TR,6284,244,20,ARBMEN,0,1,0,0,0,,9.4,0,,130.5,16,,
B3,SA,6285,400,440,QUEAGR,0,1,,,,,1.39,0,,55.7,1,,
B3,SA,6286,340,440,QUEAGR,0,1,,,,,1.06,0,11.8,52.5,1,,
B3,TR,999.12,,,PSEMEN,0,0,0,0,0,,17.6,0,4.06,,,,
B3,TR,6287,149,315,UMBCAL,0,1,0,0,0,,6.23,0,,177,26,,
B3,TR,6288,340,170,UMBCAL,0,1,0,0,0,,,,,120.4,15,,TOO SHORT FOR MEASURMENTS 
D4,TR,999.101,,,PSEMEN,0,0,0,0,0,,73.2,0,63.2,,,,
D4,TR,6291,95,270,ARBMEN,0,1,0,0,0,,9.4,0,5,111.9,9,,tag looped around base
D4,SA,6292,115,215,BACPIL,1,0,,,,60.7,0.53,3,,,,,new sa
D4,TR,999.102,,,PSEMEN,0,0,0,0,0,,3.25,0,1.82,,,,
D4,TR,999.103,,,PSEMEN,0,0,0,0,0,,8.5,0,6.1,,,,
D4,TR,6293,185,345,ARBMEN,0,1,0,0,0,,16.7,0,12,151.5,13,,
D4,SA,6294,230,375,QUEAGR,0,1,,,,,0.56,1,,46.1,0,,"new sa- og dead, bd@ 5cm"
D4,TR,6295,440,310,ARBMEN,0,1,0,0,0,,25,0,14.9,146.1,14,,
D4,TR,6295.1,480,310,ARBMEN,0,1,0,0,0,,9.1,0,5.9,177.8,14,,
D4,TR,999.104,,,PSEMEN,0,0,0,0,0,,,,5.2,,,,
D4,TR,6296,370,35,UMBCAL,0,1,0,0,0,,5.3,0,,121.9,21,,tag looped around base
D4,TR,6297,305,45,QUEAGR,0,1,0,0,0,,5.9,0,3.1,142.5,1,,tag looped around base
D4,TR,6298,355,499,ARBMEN,0,1,0,0,0,,4.9,0,3,96,2,,tag looped around base
D3,SA,6299,35,405,QUEAGR,0,1,,,,,2.2,1,,75.3,2,,bd @ 8cm
D3,TR,999.105,,,PSEMEN,0,0,0,0,0,,6.6,0,4.8,,,,
D3,TR,6300,130,260,ARBMEN,0,1,0,0,0,,10.4,0,4.8,162.4,13,,
D3,TR,6300.1,130,260,ARBMEN,0,0,0,0,0,,,,4.8,,,,no tag
D3,TR,999.106,,,PSEMEN,0,0,0,0,0,,17.5,0,12.8,,,,
D3,SA,6301,480,415,QUEAGR,0,1,,,,,1.4,0,,58.9,1,,
D3,TR,999.107,,,PSEMEN,0,0,0,0,0,,3.47,0,4.9,,,,
D3,TR,6302,345,380,UMBCAL,0,1,0,0,0,,6.1,0,,193.4,24,,
D3,TR,6303,185,335,UMBCAL,0,1,0,0,0,,3.9,0,,126.2,21,,
D3,TR,999.108,,,PSEMEN,0,0,0,0,0,,17.3,0,13.4,,,,
D3,TR,6304,499,150,ARBMEN,0,0,0,0,0,,3.86,0,,49,0,,
D3,TR,6305,365,110,UMBCAL,0,0,0,0,0,,2.7,0,,75.1,5,,
D2,TR,999.109,,,PSEMEN,0,1,0,0,0,,72.6,0,58.9,,,,
D1,TR,6306,420,230,QUEAGR,0,1,0,0,0,,55.2,0,36.9,,,,
D1,TR,6308,90,265,UMBCAL,0,1,0,0,0,,9.8,0,7.6,192.5,28,,
D1,SA,6307,65,100,BACPIL,1,0,,,,141.2,0.72,4,,,,,new sa
B3,SA,6289,16,150,BACPIL,1,0,,,,62.3,0.76,7,,,,,NEW SA
B2,TR,999.13,,,PSEMEN,0,0,0,0,0,,62.3,0,50.6,,,,
B2,TR,6290,24,40,UMBCAL,0,1,0,0,0,,3.48,0,,176.1,16,,"og dead, no dbh, stump"
B1,TR,6320,300,175,UMBCAL,0,1,0,0,0,,7.35,0,,185.5,9,,og dead/ stump
B1,SA,6321,360,134,BACPIL,1,0,,,,51.8,0.4,5,,,,,
B1,SA,6322,485,310,SAMNIG,1,0,,,,81.8,0.83,3,,,,,
