Plot ID,1349,,Sampler(s),"MO,AC,KO,MK",,,,,Date ,20180717,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,4016,,,NOTDEN,0,1,0,0,0,,,,18.9,95.7,45,0,OG DEAD
A1,TR,4016.1,,,NOTDEN,0,0,0,0,0,,,,20.5,,,0,
A1,TR,4015,,,QUEAGR,0,1,0,0,0,,,,7.2,,,0,
A1,SA,4019,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A2,TS,4017,,,QUEAGR,0,0,,,,,,,,,,1,GONE
A2,SA,4038,,,PSEMEN,0,0,,,,,,,,,,1,GONE
A2,SA,5772,165,240,UMBCAL,0,1,,,,,0.85,0,,44.1,0,0,"OG DEAD, BD @8CM"
A2,SA,5780,203,235,UMBCAL,0,1,,,,,0.91,0,,42.7,0,0,OG DEAD
A2,SA,4018,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B1,SA,4039,,,UMBCAL,0,0,,,,,1.08,0,,,,0,
B3,TR,4029,,,QUEKEL,1,1,1,1,3,,,,94,,,0,
B3,SA,4027,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B3,SA,4026,,,UMBCAL,0,1,,,,,1.08,0,,22,0,0,OG DEAD
B3,TR,4030,,,PSEMEN,0,0,0,0,0,,,,,,,0,CUT DOWN
B3,SA,4028,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B3,SA,99459,,,UMBCAL,0,0,,,,,1.7,0,,,,0,BD @ 8CM
B3,SA,5781,92,170,UMBCAL,0,1,,,,,1.25,0,,22,0,0,"OG DEAD, BD @ 5"
A3,TR,4020,,,PSEMEN,1,0,0,1,2,,,,37.4,,,0,
A4,TR,4021,,,QUEAGR,0,1,0,0,0,,,,24.5,100.4,6,0,OG DEAD
A4,SA,4022,,,NOTDEN,0,0,,,,,,,,,,0,GONE
B4,TR,4023,,,PSEMEN,0,0,0,0,0,,,,26.9,,,0,
B4,SA,4024,,,UMBCAL,0,1,,,,,1.9,0,,29.5,0,0,OG DEAD
B4,SA,4025,,,NOTDEN,0,0,,,,,0.82,0,,,,1,BD @ 5
B4,SA,5782,499,1,NOTDEN,0,1,,,,,1.18,0,,64.4,1,0,"OG DEAD, NEW SA"
C4,TR,4033,,,QUEAGR,1,0,1,1,3,,,,51.7,,,0,
C4,SA,4032,,,UMBCAL,0,1,,,,,1.84,0,,34.2,0,0,OG DEAD
C3,SA,4035,,,PSEMEN,0,0,,,,,1.02,0,,,,0,
C3,SA,5783,110,483,UMBCAL,0,1,,,,,0.94,0,,33.1,0,0,"OG DEAD, BD @5, NEW SA"
D3,SA,4034,55,1,UMBCAL,0,1,,,,,,,,27,0,0,OG DEAD
D3,SA,5784,,,UMBCAL,0,1,,,,,,,,20.7,0,0,OG DEAD
D1,SA,4036,,,NOTDEN,0,0,,,,,1.11,2,,,,0,
C1,SA,4037,,,PSEMEN,0,0,,,,,,,,,,0,GONE
C2,TR,4031,,,QUEKEL,1,1,0,1,3,,,,64.2,,,0,
A1,SA,5785,340,392,UMBCAL,0,0,,,,,0.61,0,,14,0,0,"OG DEAD, BD @ 5"
