Plot ID,PPW1308,,Sampler(s),"MK,KO,AC,MO",,,,,Date ,20180625,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B4,TR,1248,,,QUEGAR,1,0,0,1,4,,,,46.8,,,0,,
B3,TR,1251,,,QUEGAR,1,0,0,1,4,,,,21.6,,,0,,
B3,TR,1250,,,QUEGAR,1,0,0,1,4,,,,38.6,,,0,,
B4,TR,1249,,,QUEGAR,1,0,0,1,4,,,,47.3,,,0,,
A1,TR,1252,,,QUEGAR,0,0,0,0,0,,,,22.9,,,0,,A1 NOT B2
D4,TR,1256,,,QUEGAR,1,0,0,1,5,,,,31.2,,,0,,
B1,TR,1253,,,QUEGAR,1,0,0,1,4,,,,32.8,,,0,,
B1,TR,1253.1,,,QUEGAR,0,0,0,0,0,,,,21.9,,,0,,
B1,TR,1253.2,,,QUEGAR,1,0,0,1,3,,,,27.8,,,0,,
C2,TR,1255,,,QUEGAR,1,0,0,1,4,,,,23.9,,,0,,
C1,TR,1254,,,QUEGAR,1,0,0,1,4,,,,32.3,,,0,,was quekel changed to match other years mkqc2022
C1,TR,1254.1,,,QUEGAR,1,0,0,1,4,,,,21.8,,,0,,was quekel changed to match other years mkqc2023
B1,TR,1257,,,QUEGAR,1,0,0,1,3,,,,24.6,,,0,,
D4,SA,5557,495,490,ARCMAN,1,0,,,,46.8,1.95,1,,,,0,,Ne SA
