Plot ID,1342,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180731,,,,,,,,,
Notes,"2328,2338 not found in 2018",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D2,TR,2346,,,QUEAGR,0,1,0,0,0,,,,16.1,75.6,5,0,,
D2,TS,2346.1,,,QUEAGR,0,0,,,,,,,,,,0,,DEAD/GONE 
D1,SA,2348,,,NOTDEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D1,SA,2347,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE 
D1,SA,2349,,,TORCAL,0,0,,,,,,,,,,0,,DEAD/GONE 
D2,TR,2345,,,PSEMEN,0,0,0,0,0,,,,94.9,,,0,,
D2,TR,2344,,,PSEMEN,0,0,0,0,0,,,,18.1,,,0,,
D2,SA,6101,243,415,BACPIL,1,0,,,,61.5,0.49,0,,,,0,,NEW SA
D3,SA,2343,,,NOTDEN,0,1,,,,,,,,47.1,0,0,,OG DEAD
D3,TR,2341,,,PSEMEN,0,0,0,0,0,,,,70.6,,,0,,
D3,TR,2342,,,QUEAGR,0,1,0,0,0,,,,10.8,58.2,1,0,,OG DEAD
D3,TR,2342.1,,,QUEAGR,0,0,0,0,0,,,,1.02,,,0,,
D3,SA,2340,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D2,SA,6102,370,310,UMBCAL,0,1,,,,,,,,45.2,0,0,,"BD UNAVAILABLE, OG DEAD"
D4,TR,2331,,,PSEMEN,0,0,0,0,0,,,,2.4,,,0,,
D4,TR,2336,,,PSEMEN,0,0,0,0,0,,,,2.27,,,0,,
D4,TR,2333,,,PSEMEN,0,0,0,0,0,,,,1.17,,,0,,confirm 2333 and not 2338 in 2019
D4,TR,2325,,,PSEMEN,0,0,0,0,0,,,,3.17,,,0,,
D4,SA,2323,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD/GONE 
D4,SA,2329,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2330,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2334,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2335,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2339,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2332,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2337,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2327,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2326,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,2324,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,6103,115,338,BACPIL,1,0,,,,83.8,0.67,1,,,,0,,NEW SA
D4,SA,6104,120,383,BACPIL,1,0,,,,86.3,0.74,2,,,,0,,NEW SA
D4,SA,6105,320,465,BACPIL,1,0,,,,54.2,0.58,5,,,,0,,NEW SA
C1,SA,6106,134,285,BACPIL,1,0,,,,53,0.53,10,,,,0,,NEW SA
C1,SA,6107,98,50,BACPIL,1,0,,,,68.5,0.63,9,,,,0,,NEW SA
C2,SA,6108,291,45,BACPIL,1,0,,,,55.1,0.53,5,,,,0,,NEW SA
C2,SA,6109,215,98,BACPIL,1,0,,,,87.5,0.68,5,,,,0,,NEW SA
C2,SA,6110,123,106,BACPIL,1,0,,,,51.2,0.42,8,,,,0,,NEW SA
C3,TR,2317,,,NOTDEN,0,1,,,,,,,7.5,126.8,21,0,,OG DEAD
C3,TS,2317.1,,,NOTDEN,0,0,,,,,,,,,,0,,DEAD/GONE 
C3,TR,2316,,,PSEMEN,0,0,0,0,0,,,,58.2,,,0,,
C3,TR,2315,,,PSEMEN,0,0,0,0,0,,,,31.4,,,0,,
C4,TR,2319,,,PSEMEN,0,0,0,0,0,,,,,,,1,,DEAD/GONE 
C4,TR,2318,,,PSEMEN,0,0,0,0,0,,,,2.41,,,0,,
C4,SA,2320,,,TORCAL,0,0,,,,,,,,,,0,,DEAD/GONE- confirm if torcal or psemen in 2019 if possible  
C4,TR,2321,,,PSEMEN,0,0,0,0,0,,,,,,,0,,DEAD/GONE 
C4,SA,2322,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD/GONE 
D4,SA,6121,150,425,BACPIL,1,0,,,,52.6,0.51,0,,,,0,,new sa
B4,TR,2307,,,PSEMEN,0,0,0,0,0,,,,41.8,,,0,,
B4,TR,2308,,,PSEMEN,0,0,0,0,0,,,,22.6,,,0,,
B3,TR,2309,,,PSEMEN,0,0,0,0,0,,,,58.4,,,0,,
B2,TR,2310,,,NOTDEN,0,0,0,0,0,,,,9.7,93,25,0,,
B2,SA,2311,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE 
B1,TR,2313,,,PSEMEN,0,0,0,0,0,,,,26.3,,,0,,
B1,TR,2312,,,PSEMEN,0,0,0,0,0,,,,77.6,,,0,,
B1,TR,2314,,,PSEMEN,0,0,0,0,0,,,,14.6,,,0,,
A1,SA,1999,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD/GONE 
A1,SA,6111,15,290,BACPIL,1,0,,,,50.5,0.38,6,,,,0,,
B1,SA,6112,10,110,BACPIL,1,0,,,,50.6,0.43,9,,,,0,,
A2,SA,6113,65,310,BACPIL,1,0,,,,62,0.62,4,,,,0,,
B2,SA,6114,90,140,BACPIL,1,0,,,,78.7,0.67,5,,,,0,,
B2,SA,6115,470,65,BACPIL,1,0,,,,78,0.92,5,,,,0,,
A3,SA,6116,50,240,BACPIL,1,0,,,,54.8,0.72,5,,,,0,,
A3,SA,6117,345,155,BACPIL,1,0,,,,52.4,0.61,4,,,,0,,
A1,SA,6118,450,445,BACPIL,1,0,,,,70,0.77,2,,,,0,,
A3,SA,6119,415,335,BACPIL,1,0,,,,57.1,0.48,6,,,,0,,
B3,SA,6120,95,305,BACPIL,1,0,,,,50.4,0.52,3,,,,0,,
A4,SA,6122,175,230,BACPIL,1,0,,,,71.4,0.7,0,,,,0,,
A4,SA,6123,165,405,BACPIL,1,0,,,,56.5,0.83,1,,,,0,,
B4,SA,6124,130,38,BACPIL,1,0,,,,50.3,0.6,3,,,,0,,
B4,SA,6125,280,110,BACPIL,1,0,,,,57.2,0.52,7,,,,0,,
A4,TR,2306,,,PSEMEN,0,0,0,0,0,,,,32.4,,,0,,
A3,TR,2305,,,PSEMEN,0,0,0,0,0,,,,64.2,,,0,,
A3,TR,2304,,,PSEMEN,0,0,0,0,0,,,,47.4,,,0,,
A2,TR,2303,,,PSEMEN,0,0,0,0,0,,,,41.6,,,0,,
A2,TR,2301,,,NOTDEN,0,0,0,0,0,,,,,,,0,,DEAD/GONE
A2,TR,2301.1,,,NOTDEN,0,1,0,0,0,,,,2.43,98.1,17,0,,
A2,TS,2301.2,,,NOTDEN,0,0,,,,,,,,,,0,,DEAD/GONE
A2,TR,2302,,,UMBCAL,0,1,0,0,0,,,,,108.7,29,0,,OG DEAD/GONE
A1,TR,1996,,,PSEMEN,0,0,0,0,0,,,,86.3,,,0,,
A1,SA,1997,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE
A1,SA,1998,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE
,SA,2328,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
D4,SA,2338,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
