Plot ID,1320,,Sampler(s),"MO, MK, KO, AC",,,,,Date ,20180730,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
C1,SA,5979,265,102,FRACAL,1,0,,,,55.3,0.42,5,,,,0,
C1,SA,4686,,,HETARB,0,0,,,,,1.04,0,,,,0,
C1,SA,5980,255,178,UMBCAL,0,1,,,,,0.77,0,,42.1,0,0,
C1,SA,4684,,,UMBCAL,0,0,,,,,1.1,2,,,,0,
B1,SA,4687,,,UMBCAL,0,1,,,,,1.98,0,,108.1,5,0,
C1,SA,4688,,,UMBCAL,0,1,,,,,2.65,0,,107,3,0,
C1,TR,4659,,,QUEAGR,1,0,0,1,3,,,,29.5,,,0,
C1,SA,4683,,,UMBCAL,0,0,,,,,,,,,,1,
C1,SA,4689,,,FRACAL,0,0,,,,,,,,,,1,
C1,SA,4685,,,FRACAL,0,0,,,,,,,,,,1,
C2,TR,4690,,,HETARB,0,1,0,0,0,,2.31,0,1.68,36.5,0,0,
C2,TR,4698,,,UMBCAL,0,1,0,0,0,,,,5.17,74.6,5,0,
C2,SA,4692,,,UMBCAL,0,0,,,,,,,,,,1,
C2,SA,4694,,,FRACAL,0,0,,,,,,,,,,1,
C2,SA,4693,,,HETARB,0,0,,,,,,,,,,1,
C2,SA,4697,,,UMBCAL,0,0,,,,,,,,,,1,
C3,SA,4696,,,UMBCAL,0,0,,,,,,,,,,1,
C3,TR,4700,,,HETARB,0,1,0,0,0,,,,2.51,62,3,0,DBH @ 1.2
C3,TR,4700.1,,,HETARB,0,0,0,0,0,,,,2.02,,,0,
C3,SA,4700.2,,,HETARB,0,0,,,,,0.96,0,,,,0,
C2,TR,4718,,,QUEAGR,1,1,0,1,3,,,,29.1,,,0,
C3,TR,4691,,,HETARB,0,0,0,0,0,,,,,,,1,
C3,TR,4702,,,HETARB,0,1,0,0,0,,,,5.45,118.8,18,0,
C3,TR,4702.1,,,HETARB,0,0,0,0,0,,,,5.78,,,0,
C3,TR,4702.2,,,HETARB,0,1,0,0,0,,,,3.14,92.5,13,0,
C3,TR,4702.3,,,HETARB,0,0,0,0,0,,,,1.14,,,0,
C3,TS,4702.4,,,HETARB,0,0,,,,,,,,,,0,
C3,SA,4715,,,UMBCAL,0,1,,,,,2.34,0,,86.5,1,1,
C3,SA,4717,,,HETARB,0,0,,,,,0.78,0,,,,0,
B3,TR,4605,,,PSEMEN,1,0,1,1,2,,,,32.6,,,0,EPICORMIC ON THIS DF IS CORRECT
B3,TR,4604,,,UNK,0,0,0,0,0,,,,,,,1,
B3,SA,4601,,,FRACAL,0,0,,,,,,,,,,1,
B3,SA,4603,,,UMBCAL,0,0,,,,,1.61,0,,,,0,
B3,SA,5981,398,498,FRACAL,1,0,,,,73.5,0.72,0,,,,0,
B3,SA,4607,,,UMBCAL,0,0,,,,,,,,,,1,
B3,SA,4608,,,UMBCAL,0,0,,,,,,,,,,1,
B3,SA,4606,,,FRACAL,0,0,,,,,,,,,,1,
B3,SA,4567,,,HETARB,0,0,,,,,,,,,,1,
B3,SA,4602,,,FRACAL,0,0,,,,,,,,,,1,
B2,TR,4613,,,HETARB,0,1,0,0,0,,3.11,0,1.28,58.5,2,0,
B2,TR,4651,,,HETARB,0,1,0,0,0,,,,1.93,35,0,0,
B2,TR,4651.2,,,HETARB,0,0,0,0,0,,,,2.39,,,0,
B2,TR,4651.1,,,HETARB,0,0,0,0,0,,0.64,0,1.23,,,0,
B2,TS,4651.3,,,HETARB,0,0,,,,,0.64,0,,,,0,
B2,TR,4653,,,HETARB,0,0,0,0,0,,,,1.75,113.5,13,0,
B2,TS,4653.1,,,HETARB,0,0,,,,,,,2.48,,,0,
B2,SA,4647,,,HETARB,0,0,,,,,2.58,0,,,,0,
B2,TR,4649,,,QUEAGR,0,1,0,0,0,,,,28.8,58.9,4,0,
B2,SA,4614,,,HETARB,0,0,,,,,1.73,0,,,,1,
B2,SA,4612,,,HETARB,0,0,,,,,,,,,,1,
B2,SA,4611,,,FRACAL,0,0,,,,,,,,,,1,
B2,SA,4646,,,UMBCAL,0,0,,,,,,,,,,1,
B2,SA,4665,,,FRACAL,0,1,,,,,2.06,0,,62,2,0,
B1,SA,5982,197,108,UMBCAL,0,1,,,,,3.79,0,,72.1,3,0,"NEW SA, OG DEAD"
B1,SA,4630,,,HETARB,0,1,,,,,1.15,1,,55.7,1,0,
B1,SA,4650,,,UMBCAL,0,0,,,,,,,,,,1,
D1,TR,4738,,,FRACAL,0,1,0,0,0,,,,2.6,119.5,6,0,
D1,TR,4738.1,,,FRACAL,0,1,0,0,0,,,,2.8,140,16,0,
D1,TR,4738.2,,,FRACAL,0,0,0,0,0,,,,2.4,,,0,
D1,TS,4738.3,,,FRACAL,0,0,,,,,0.83,0,,,,0,
D1,TR,4737,,,UMBCAL,0,1,0,0,0,,,,2.8,144,8,0,
D1,TR,4738.4,,,FRACAL,0,1,0,0,0,,0.84,0,,121.5,13,0,NEW .4 TR
D1,SA,4736,,,FRACAL,0,0,,,,,0.64,0,,,,0,
D1,SA,4745,,,FRACAL,0,0,,,,,0.72,0,,,,1,
D1,SA,4734,,,UMBCAL,0,0,,,,,,,,,,1,
D1,SA,4733,,,FRACAL,0,1,,,,,1.08,2,,119.7,20,0,
D1,SA,4735,,,UMBCAL,0,0,,,,,,,,,,0,
D1,SA,4740,,,UMBCAL,0,0,,,,,,,,,,1,
D1,SA,4739,,,FRACAL,0,0,,,,,,,,,,1,TAG NOT FOUND
D1,TR,4741,,,UMBCAL,0,1,0,0,0,,,,5.7,178.4,16,0,
D2,TR,4699,,,ARBMEN,1,1,0,1,4,,,,41.1,95.2,12,0,
D2,TR,4699.1,,,ARBMEN,0,0,0,0,0,,,,,,,0,SNAG
D2,TR,4727,,,ARBMEN,0,1,0,0,0,,,,20.3,,,1,
D2,TR,4730,,,QUEWIS,0,0,0,0,0,,,,,,,0,
D2,SA,4731,,,HETARB,0,0,,,,,,,,,,1,
D2,SA,4728,,,FRACAL,0,0,,,,,,,,,,1,
D2,SA,4729,,,FRACAL,0,0,,,,,,,,,,1,
D2,TS,4729.1,,,FRACAL,0,0,,,,,,,,,,1,
