Plot ID,1304,,Sampler(s),AC/MO/MK/KO,,,,,Date ,20180723,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,1101,,,QUEGAR,1,0,0,1,3,,,,74,,,0,
A1,TR,1101.1,,,QUEGAR,1,0,1,0,1,,,,51.3,,,0,
B3,SA,1103,,,QUEAGR,0,1,,,,,2.38,0,,58.2,1,0,OG DEAD
B4,TR,1102,,,QUEAGR,1,0,0,1,3,,,,66.7,,,0,
C3,SA,1105,,,QUEAGR,0,1,,,,,1.62,0,,33,0,0,OG DEAD
C2,TR,1104,,,AESCAL,1,1,1,1,2,,,,15.9,,,0,
C2,TR,1104.1,,,AESCAL,0,1,0,0,0,,,,14.4,175.5,2,0,
D3,TR,1107,,,QUEAGR,1,1,1,0,1,,,,31.3,98.3,3,0,DBH TREE BURNED 
D3,TR,1106,,,AESCAL,1,1,1,1,2,,,,17.4,55.5,1,0,
D3,TR,1106.1,,,AESCAL,1,0,1,1,2,,,,15.4,,,0,
A1,SA,999.1,,,UNK,0,0,,,,,0.63,0,,,,0,
D1,SA,5865,360,190,QUEAGR,0,1,,,,,0.73,1,,38.3,0,0,OG DEAD
C1,SA,5829,340,192,QUEAGR,1,0,,,,52,0.42,1,,,,0,NEW SA
B3,SA,5830,25,90,QUEDOU,0,1,,,,,0.77,1,,61.5,1,0,OG DEAD
