Plot ID,PPW1336,,,,Sampler(s),"MFO, MNB, JSF, PAP",,,Date ,20130315
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEDEC,18,,1,,,,,,
A2,QUEDEC,4,,,,,,,,
A2,UMBCAL,,,3,,,,,,
A3,UMBCAL,,,1,,,,,,
A3,QUEDEC,2,,1,,,,,,
A4,UMBCAL,1,,1,,,,,,
B4,QUEDEC,5,,,,,,,,
B4,UMBCAL,,,1,,,,,,
B3,QUEAGR,,,1,,,,,,
B3,UMBCAL,,,1,,,,,,
B2,QUEDEC,1,,,,,,,,
B2,UMBCAL,1,,,,,,,,
B1,QUEDEC,5,,,,,,,,
B1,UMBCAL,,,9,,,,,,
B1,QUEAGR,,,1,,,,,,
C1,UMBCAL,,,3,,,,,,
C1,QUEDEC,1,,,,,,,,
C2,UMBCAL,1,,3,,,,,,
C3,QUEAGR,,,1,,,,,,
C3,UMBCAL,2,,2,,,,,,
C4,UMBCAL,,,,,,,,,
C4,QUEDEC,9,,,,,,,,
D4,QUEDEC,3,,,,,,,,
D4,UMBCAL,,,1,,,,,,
D3,UMBCAL,1,,1,,,,,,
D3,QUEDEC,1,,,,,,,,
D3,QUEAGR,1,,,,,,,,
D2,QUEDEC,5,,1,,,,,,
D2,UMBCAL,1,,1,,,,,,
D1,QUEDEC,1,,2,,,,,,
D1,UMBCAL,1,,4,,,,,,
