Plot ID,PPW1314,,,,Sampler(s),"MFO, MNB, MAP, JSF, PP, JAR",,,Date ,20130301
Notes,"***Was incorrectly called PPW1314, not incorrect, changed back 20130811 MFO",,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A3,UMBCAL,1,,,,,,,,
A4,QUEDEC,1,,,,,,,,
B4,QUEDEC,4,,,,,,,,
C3,QUEDEC,1,,,,,,,,
C1,QUEDEC,8,,1,,,,,,
C3,UMBCAL,1,,,,,,,,
C4,QUEDEC,1,,,,,,,,
D1,QUEDEC,3,,4,,,,,,
D2,QUEDEC,1,,10,,,SE still attached to acorn,,,
D4,HETARB,8,,,,,,,,
D4,QUEDEC,9,,,,,,,,
D3,QUEDEC,6,,,,,,,,
D3,HETARB,1
