Plot ID,PPW1349,,,,Sampler(s),"MFO,MNB,PP,JAR,MAP",,,Date ,20130405
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,1,,7,,,,,,
A1,PSEMEN,1,,2,,,,,,
A1,QUEAGR,,,1,,,,,,
A2,UMBCAL,,,4,,,,,,
A2,PSEMEN,1,,4,,,,,,
A2,NOTDEN,,,1,,,,,,
A3,PSEMEN,2,,9,,,,,,
A3,UMBCAL,1,,,,,,,,
A4,NOTDEN,,,2,,,,,,
A4,PSEMEN,1,,5,,,,,,
A4,QUEAGR,1,,,,,,,,
B4,PSEMEN,,,4,,,,,,
B4,UMBCAL,,,1,,,,,,
B4,NOTDEN,,,1,,,,,,
B3,UMBCAL,,,2,,,,,,
B2,UMBCAL,,,2,,,,,,
B1,NOTDEN,,,1,,,,,,
B1,PSEMEN,,,2,,,,,,
B1,UMBCAL,,,2,,,,,,
C1,UMBCAL,,,2,,,,,,
C1,NOTDEN,,,1,,,,,,
C2,PSEMEN,1,,1,,,,,,
C2,UMBCAL,,,1,,,,,,
C3,UMBCAL,,,3,,,,,,
C4,UMBCAL,,,2,,,,,,
C4,PSEMEN,1,,2,,,,,,
C4,ARBMEN,1,,,,,,,,
D4,UMBCAL,,,3,,,,,,
D4,QUEDEC,,,1,,,,,,
D3,UMBCAL,1,,2,,,,,,
D3,QUEDEC,,,1,,,,,,
D2,PSEMEN,,,2,,,,,,
D1,UMBCAL,,,1,,,,,,
D1,QUEDEC,1,,,,,,,,
D1,QUEKEL,,,1,,,,,,
