Plot ID,PPW1325,,,,Sampler(s),"MFO,MNB, PP,JAR,MAP ",,,Date ,20130405
Notes,QUEGAR ID MAY INCLUDE HYBRIDS; POTENIAL CONFUSION WITH ARBMEN AND HETARB ,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,ARCMAN,,,3,,,,,,
A1,HETARB,,,1,,,,,,
A1,QUEDEC,2,,,,,,,,
A1,PSEMEN,,,1,,,,,,
A2,UMBCAL,,,2,,,,,,
A2,PSEMEN,,,1,,,,,,
A2,QUEAGR,,,1,,,,,,
A3,UMBCAL,,,1,,,,,,
A3,QUEDEC,1,,,,,,,,
A4,QUEDEC,4,,2,,,,,,
A4,ARCMAN,2,,2,,,,,,
B4,QUEDEC,1,,,,,,,,
B4,QUEGAR,2,,1,,,,,,
B4,ARCMAN,,,1,,,,,,
B3,QUEAGR,3,,1,,,,,,
B3,QUEDEC,2,,,,,,,,
B3,ARBMEN,1,,1,,,,,,
B2,ARBMEN,,,2,,,,,,
B2,QUEDEC,3,,,,,,,,
B2,QUEAGR,4,,,,,,,,
B1,QUEDEC,4,,,,,,,,
C1,QUEDEC,7,,,,,,,,
C2,QUEAGR,1,,1,,,,,,
C2,QUEDEC,3,,,,,,,,
B2,ARCMAN,,,1,,,IN B2,,,
C3,QUEDEC,6,,,,,,,,
C3,HETARB,,,1,,,,,,
C4,ARCMAN,,,1,,,,,,
C4,PSEMEN,,,1,,,,,,
D4,ARBMEN,1,,,,,,,,
D3,QUEDEC,3,,,,,,,,
D2,HETARB,2,,,,,,,,
D2,QUEDEC,35,,,,,,,,
D2,QUEAGR,,,2,,,,,,
D1,QUEDEC,22,,2,,,,,,
D1,ARBMEN,,,1,,,,,,
D1,PSEMEN,1,,,,,,,,
D1,HETARB,1,,,,,,,,
D1,QUEAGR,1,,,,,,,,
D1,UMBCAL,,,1,,,,,,
