Plot ID,PPW1346,,,,Sampler(s),"MFO, APW, PP,JAR,MAP",,,Date ,203130503
Notes,"NONE IS A1,A4,B4,B3,C2",,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A2,UMBCAL,,,2,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
A3,UMBCAL,,,5,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
A3,UMBCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
B2,UMBCAL,,,3,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
B2,QUEGAR,,,2,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
B1,HETARB,,,3,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
C1,AESCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
C1,CEOCUN,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
C3,AESCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
C4,AESCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
D4,AESCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
D3,UMBCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO,,,
D3,AESCAL,,,2,,,INPUTED NUMBER FROM SCAN 201307011 MFO
D1,AESCAL,,,6,,,INPUTED NUMBER FROM SCAN 201307011 MFO
D1,AMOCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO
D2,UMBCAL,,,1,,,INPUTED NUMBER FROM SCAN 201307011 MFO
