Plot ID,PPW1303,,,,Sampler(s),"MFO,MNB,JAR,MAP,PP",,,Date ,20130405
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEDEC,59,,33,,,,,,
A1,UMBCAL,2,,1,,,,,,
A2,QUEDEC,33,,11,,,,,,
A2,QUEAGR,,,2,,,,,,
A3,QUEDEC,8,,9,,,,,,
A3,QUEAGR,,,3,,,,,,
A3,UMBCAL,1,,,,,,,,
A4,QUEAGR,,,2,,,,,,
A4,QUEDEC,6,,3,,,,,,
B1,QUEDEC,25,,14,,,,,,
B1,UMBCAL,1,,,,,,,,
B1,QUEAGR,,,1,,,,,,
B2,QUEDEC,8,,6,,,,,,
B3,QUEDEC,12,,13,,,,,,
B3,QUEAGR,2,,3,,,,,,
B3,PSEMEN,,,5,,,,,,
B3,UMBCAL,1,,,,,,,,
B4,PSEMEN,1,,5,,,,,,
B4,UMBCAL,,,2,,,,,,
B4,QUEDEC,3,,,,,,,,
B4,QUEAGR,,,1,,,,,,
C1,QUEDEC,2,,,,,,,,
C2,QUEAGR,,,1,,,,,,
C2,QUEDEC,,,1,,,,,,
C3,QUEDEC,2,,2,,,,,,
C3,QUEAGR,,,2,,,,,,
C3,UMBCAL,1,,,,,,,,
C4,UMBCAL,1,,1,,,,,,
C4,PSEMEN,,,1,,,,,,
C4,HETARB,,,1,,,,,,
D4,QUEAGR,4,,4,,,,,,
D4,UMBCAL,,,3,,,,,,
D4,QUEDEC,1,,1,,,,,,
D3,QUEDEC,6,,3,,,,,,
D3,QUEAGR,,,2,,,,,,
D2,QUEDEC,,,4,,,,,,
D1,QUEDEC,77,,41,,,,,,
D1,QUEAGR,,,1,,,,,,
