Plot ID,   PPW1306,,,,Sampler(s),"MFO, MJK",,,Date ,20130208
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,2,,,,,,
A2,UMBCAL,,,2,,,,,,
A3,ARBMEN,1,,1,,,,,,
A3,UMBCAL,1,,1,,,,,,
A4,PSEMEN,,,3,,,,,,
A4,ARBMEN,,,2,,,,,,
B4,UMBCAL,,,1,,,,,,
B4,ARBMEN,1,,1,,,,,,
B3,ARBMEN,3,,,,,,,,
B2,PSEMEN,23,,,,,23 Total SE,,,
B2,UMBCAL,1,,5,,,,,,
B2,QUEAGR,,,1,,,,,,
B2,PSEMEN,,,1,,,,,,
B1,ARBMEN,7,,,,,,,,
B1,UMBCAL,,,5,,,,,,
C1,UMBCAL,,,4,,,,,,
C1,ARBMEN,14,,2,,,,,,
C2,ARBMEN,26,,,,,26 Total SE,,,
C2,PSEMEN,,,1,,,,,,
C2,UMBCAL,,,2,,,,,,
C3,ARBMEN,20,,,,,,,,
C3,PSEMEN,,,2,,,,,,
C3,UMBCAL,,,2,,,,,,
C4,UMBCAL,1,,,,,,,,
C4,ARBMEN,1,,,,,,,,
C4,PSEMEN,,,3,,,,,,
D4,ARBMEN,1,,,,,,,,
D4,UMBCAL,,,1,,,,,,
D3,ARBMEN,18,,,,,,,,
D2,ARBMEN,1,,1,,,,,,
D2,UMBCAL,,,1,,,,,,
D1,ARBMEN,1,,3,,,,,,
