Plot ID,PPW1328,,,,Sampler(s),"MFO,MNB,APW,",,,Date ,20130426/20130503
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,PSEMEN,3,,22,,,,,,
A1,FRACAL,4,,1,,,RHACAL-->FRACAL,,,
A1,QUEAGR,3,,1,,,,,,
A2,UMBCAL,1,,,,,,,,
A2,PSEMEN,2,,48,,,,,,
A2,FRACAL,5,,2,,,,,,
A2,QUEAGR,5,,5,,,,,,
A3,PSEMEN,2,,19,,,,,,
A3,UMBCAL,1,,1,,,,,,
A3,QUEAGR,,,1,,,,,,
A3,FRACAL,8,,8,,,,,,
A4,FRACAL,7,,10,,,,,,
A4,PSEMEN,1,,9,,,,,,
A4,UMBCAL,,,2,,,,,,
A4,QUEAGR,,,1,,,,,,
B4,PSEMEN,1,,10,,,,,,
B4,FRACAL,1,,5,,,,,,
B4,QUEAGR,,,8,,,,,,
B3,UMBCAL,1,,,,,,,,
B3,PSEMEN,,,30,,,,,,
B3,QUEAGR,1,,2,,,,,,
B3,FRACAL,2,,7,,,,,,
B2,PSEMEN,2,,19,,,,,,
B2,QUEAGR,,,1,,,,,,
B1,PSEMEN,,,24,,,,,,
B1,FRACAL,1,,,,,,,,
B1,QUEAGR,2,,1,,,,,,
B1,UMBCAL,,,1,,,,,,
C1,PSEMEN,2,,39,,,,,,
C1,QUEAGR,1,,,,,,,,
C1,FRACAL,,,1,,,,,,
C2,PSEMEN,1,,40,,,,,,
C2,FRACAL,2,,7,,,,,,
C2,QUEAGR,1,,,,,,,,
C3,PSEMEN,,,33,,,,,,
C3,FRACAL,38,,19,,,,,,
C3,QUEAGR,1,,1,,,,,,
C3,UMBCAL,,,4,,,,,,
C3,HETARB,,,1,,,,,,
C4,PSEMEN,,,14,,,,,,
C4,UMBCAL,3,,3,,,,,,
C4,FRACAL,6,,7,,,,,,
C4,QUEAGR,2,,5,,,,,,
C4,HETARB,2,,2,,,,,,
D1,PSEMEN,1,,18
D1,FRACAL,7,,3
D1,HETARB,,,2
D1,QUEAGR,,,3
D1,UMBCAL,,,1
D2,PSEMEN,,,14
D2,FRACAL,4,,7
D2,QUEAGR,,,1
D2,UMBCAL,1,,2
D2,HETARB,1,,1
D3,UMBCAL,,,2
D3,FRACAL,3,,9
D3,PSEMEN,2,,11
D3,QUEAGR,1,,4
D4,FRACAL,,,3
D4,QUEAGR,2,,4
D4,PSEMEN,,,18
D4,QUEDEC,1,,
D4,UMBCAL,1,,
