Plot ID,   PPW1305,,,,Sampler(s),"MNB, MFO, JEC, MMJ",,,Date ,20130207
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,1,,3,,,,,,
A2,UMBCAL,3,,2,,,,,,
A3,UMBCAL,2,,3,,,,,,
A3,QUEAGR,,,1,,,,,,
A4,UMBCAL,2,,2,,,,,,
A4,QUEAGR,,,3,,,,,,
B4,UMBCAL,1,,8,,,,,,
B4,QUEAGR,,,4,,,,,,
B3,UMBCAL,6,,7,,,,,,
B3,QUEAGR,,,2,,,,,,
B3,PSEMEN,,,,,1,,,,
B2,UMBCAL,2,,1,,,,,,
B1,UMBCAL,,,3,,,,,,
B1,QUEAGR,,,2,,,,,,
C1,UMBCAL,7,,21,,,,,,
C1,QUEAGR,,,1,,,,,,
C2,QUEAGR,1,,3,,,,,,
C2,UMBCAL,6,,7,,,,,,
C3,UMBCAL,1,,3,,,,,,
C4,UMBCAL,,,4,,,,,,
C4,QUEAGR,,,2,,,,,,
D4,UMBCAL,10,,6,,,,,,
D4,QUEAGR,,,3,,,,,,
D3,UMBCAL,,,3,,,,,,
D3,QUEAGR,,,1,,,,,,
D2,QUEAGR,,,7,,,,,,
D2,UMBCAL,2,,11,,,,,,
D2,HETARB,,,1,,,TOYON,,,
D1,QUEAGR,,,4,,,,,,
D1,UMBCAL,7,,30,,,,,,
,,,,,,,,,,
,,,,,,,,,,
