Plot ID,   PPW1309,,,,Sampler(s),"MMJ, MFO, MNB, MJP, KMG",,,Date ,20130203
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A3,QUEAGR,2,,1,,,,,,
A3,QUEDEC,1,,1,,,QUEKEL?,,,
A4,QUEDEC,6,,,,,QUEKEL?,,,
D4,QUEDEC,12,,2,,,QUEKEL?,,,
D2,QUEDEC,1,,,,,,,,
C1,QUEDEC,1,,,,,QUEKEL?,,,
C1,QUEAGR,,,1,,,,,,
C2,QUEDEC,6,,,,,,,,
C3,QUEDEC,16,,1,,,,,,
B4,QUEDEC,23,,5,,1,,,,
B3,QUEDEC,6,,2,,,,,,
C4,QUEDEC,12,,,,,,,,
B1,QUEAGR,,,1,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
