Plot ID,PPW1345,,,,Sampler(s),"MMJ, MNB, MFO, MP, JF, GF",,,Date ,20130228
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,PSEMEN,,,1,,,,,,
D4,UMBCAL,,,1,,,,,,
D2,HETARB,,,1,,,,,,
D1,HETARB,,,1,,,,,,
D1,UMBCAL,,,1,,,,,,
C1,HETARB,,,2,,,,,,
C1,UMBCAL,,,1,,,,,,
C1,QUEAGR,,,1,,,,,,
B1,HETARB,,,3,,,,,,
B1,UMBCAL,,,1,,,,,,
C4,PSEMEN,,,1,,,,,,
C4,HETARB,,,1,,,,,,
B4,UMBCAL,,,1,,,,,,
B4,QUEAGR,,,2,,,,,,
B3,QUEAGR,,,1,,,,,,
A2,UMBCAL,,,1,,,,,,
A2,HETARB,,,2,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
