Plot ID,PPW1330,,,,Sampler(s),"MFO,MNB,MAP,JAR,PP",,,Date ,20130329
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,10,,,,,,
A1,HETARB,,,1,,,,,,
A1,PSEMEN,,,1,,,,,,
A1,QUEAGR,,,1,,,,,,
A2,UMBCAL,,,8,,,,,,
A2,FRACAL,,,2,,,,,,
A2,QUEAGR,,,1,,,,,,
A3,UMBCAL,2,,10,,,,,,
A3,FRACAL,,,1,,,,,,
A3,QUEAGR,,,1,,,,,,
A4,UMBCAL,1,,27,,,,,,
A4,PSEMEN,,,2,,,,,,
A4,QUEAGR,,,2,,,,,,
B4,UMBCAL,2,,4,,,,,,
B4,FRACAL,,,1,,,,,,
B3,UMBCAL,,,8,,,,,,
B3,QUEAGR,,,1,,,,,,
B2,QUEDEC,1,,5,,,,,,
B2,UMBCAL,,,7,,,,,,
B2,HETARB,,,1,,,,,,
B2,QUEAGR,,,1,,,,,,
B1,PSEMEN,,,1,,,,,,
B1,QUEDEC,,,1,,,,,,
B1,QUEAGR,,,4,,,,,,
B1,FRACAL,,,2,,,,,,
B1,UMBCAL,,,3,,,,,,
C1,UMBCAL,,,8,,,,,,
C1,QUEAGR,,,1,,,,,,
C1,HETARB,,,2,,,,,,
C2,UMBCAL,,,1,,,,,,
C2,HETARB,,,1,,,,,,
C3,UMBCAL,,,3,,,,,,
C3,QUEAGR,,,2,,1,,,,
C3,HETARB,,,1,,,,,,
C4,QUEAGR,,,1,,,,,,
C4,QUEGAR,,,4,,,,,,
C4,AMOCAL,,,5,,,,,,
D4,UMBCAL,1,,5,,,,,,
D4,QUEAGR,,,1,,,,,,
D3,UMBCAL,,,1,,,,,,
D3,QUEAGR,,,1,,,,,,
D2,UMBCAL,,,2,,,,,,
D2,QUEAGR,,,3,,,,,,
D1,UMBCAL,,,2,,,,,,
D1,ARCMAN,,,1,,,,,,
D1,QUEAGR,,,3,,,,,,
