Plot ID,PPW1312,,,,Sampler(s),"MMJ, MFO",,,Date ,20130214/20130215
Notes,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,1,,12,,,,,,
A1,QUEAGR,3,,8,,,,,,
A1,HETARB,1,,,,,,,,
A2,UMBCAL,,,11,,,,,,
A2,QUEAGR,4,,63,,,,,,
A2,ARBMEN,,,2,,,,,,
A3,QUEAGR,8,,54,,,,,,
A3,UMBCAL,,,6,,,,,,
A3,HETARB,5,,4,,,,,,
A4,ARBMEN,,,8,,,,,,
A4,HETARB,1,,,,,,,,
A4,PSEMEN,,,2,,,,,,
A4,QUEAGR,1,,17,,,,,,
A4,UMBCAL,,,2,,,,,,
B4,UMBCAL,1,,7,,,,,,
B4,QUEAGR,2,,19,,,,,,
B4,ARBMEN,,,1,,,,,,
B4,PSEMEN,,,2,,,,,,
B4,HETARB,,,2,,,,,,
B3,UMBCAL,1,,8,,,,,,
B3,QUEAGR,2,,8,,,,,,
B3,ARBMEN,1,,,,,,,,
B2,QUEAGR,2,,10,,,,,,
B2,UMBCAL,1,,7,,,,,,
B2,ARBMEN,,,3,,,,,,
B1,QUEAGR,1,,7,,,,,,
B1,HETARB,,,2,,,,,,
B1,UMBCAL,1,,16,,,,,,
B1,ARBMEN,,,1,,,,,,
C1,UMBCAL,3,,18,,,,,,
C1,QUEAGR,2,,11,,,,,,
C1,HETARB,1,,1,,,,,,
C1,PSEMEN,,,1,,,,,,
C2,UMBCAL,3,,10,,,,,,
C2,QUEAGR,,,6,,,,,,
C2,HETARB,2,,,,,,,,
C3,UMBCAL,,,13,,,,,,
C3,QUEAGR,1,,13,,,,,,
C4,UMBCAL,1,,17,,,,,,
C4,QUEAGR,,,4,,1,,,,
C4,HETARB,,,2,,,,,,
C4,ARBMEN,,,1,,,,,,
D4,UMBCAL,3,,15,,,,,,
D4,HETARB,,,1,,,,,,
D4,QUEAGR,2,,2,,,,,,
D3,UMBCAL,3,,14,,,,,,
D2,UMBCAL,1,,20,,,,,,
D2,QUEAGR,,,13,,,,,,
D2,HETARB,,,1,,,,,,
D1,UMBCAL,,,12,,,,,,
D1,QUEAGR,1,,8,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
