Plot ID,   PPW1304,,,,Sampler(s),"MO, MK, TT",,,Date ,20190725
Notes,"NOTHING IN D2, B2",,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,QUEGAR,,,1,,,,,,
C4,QUEGAR,,,3,,,,,,
C4,QUEDOU,1,,,,,,,,
B4,QUEGAR,2,,3,,,,,,
A4,QUEGAR,,,8,,,,,,
A4,QUEDOU,,,2,,,,,,
A3,QUEDOU,,,5,,,,,,
A3,QUEGAR,,,15,,,,,,
B3,QUEGAR,,,3,,,,,,
B3,QUEAGR,,,1,,,,,,
B3,QUEDOU,,,3,,,,,,
C3,QUEGAR,,,3,,,,,,
C3,QUEAGR,,,1,,,,,,
C3,QUEDOU,,,3,,,,,,
A1,UMBCAL,,,1,,,,,,
A1,QUEGAR,,,2,,,,,,
B1,QUEDOU,,,4,,,,,,
B1,QUEGAR,,,2,,,,,,
D3,QUEGAR,,,1,,,,,,
D3,QUEAGR,,,1,,,,,,
C1,QUEAGR,,,1,,,,,,
D1,QUEGAR,1,,,,,,,,
C2,QUEDOU,,,1,,,,,,
A2,QUEGAR,,,6,,,,,,
A2,QUEDOU,,,1,,,,,,
