Plot ID,   PPW1330,,,,Sampler(s),"MO, TT, GH, MF",,,Date ,20190618/ 20190619
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,ARBMEN,9,,1,,,,,,
A1,UMBCAL,,,4,,,,,,
A1,HETARB,4,,,,,,,,
A1,AMOCAL,3,,,,,,,,
C1,QUEKEL,,,1,,,,,,
C1,QUEAGRI,,,1,,,,,,
C1,UMBCAL,,,8,,,,,,
C1,HETARB,8,,3,,,,,,
C1,CEATHY,1,,6,,,,,,
C1,ARBMEN,2,,,,,,,,
C1,AMOCAL,1,,2,,,,,,
C1,BACPIL,1,,1,,,,,,
D1,HETARB,7,,,,,,,,
D1,CEATHY,,,31,,,,,,
D1,UMBCAL,,,2,,,,,,
D1,AMOCAL,4,,2,,,,,,
D1,BACPIL,,,1,,,,,,
D1,QUEAGRI,,,1,,,,,,
D2,CEATHY,2,,25,,,,,,
D2,HETARB,7,,2,,,,,,
D2,UMBCAL,1,,5,,,,,,
D2,QUEGAR,,,5,,,,,,
D2,AMOCAL,5,,1,,,,,,
D2,BACPIL,1,,,,,,,,
D3,CEATHY,3,,16,,,,,,
D3,AMOCAL,1,,6,,,,,,
D3,UMBCAL,,,7,,,,,,
D3,BACPIL,,,1,,,,,,
D3,QUEGAR,1,,3,,,,,,
D3,HETARB,8,,,,,,,,
D3,ARBMEN,5,,,,,,,,
D4,ARBMEN,33,,,,,,,,
D4,AMOCAL,5,,2,,,,,,
D4,QUEGAR,3,,19,,,,,,
D4,UMBCAL,,,5,,,,,,
D4,CEATHY,,,2,,,,,,
D4,QUEAGRI,,,1,,,,,,
C4,QUEGAR,3,,2,,,,,,
C4,ARBMEN ,47,,,,,,,,
C4,UMBCAL,,,4,,,,,,
C4,AMOCAL,1,,5,,,,,,
C4,CEATHY,3,,3,,,,,,
C4,PSEMEN,1,,,,,,,,
C4,HETARB,1,,,,,,,,
C4,BACPIL,,,1,,,,,,
C3,BACPIL,,,1,,,,,,
C3,CEATHY,,,5,,,,,,
C3,ARBMEN,34,,,,,,,,
C3,QUEGAR,1,,2,,,,,,
C3,UMBCAL,,,5,,,,,,
C3,HETARB,8,,,,1,,,,
C3,AMOCAL,1,,,,,,,,
C2,HETARB,6,,,,,,,,
C2,AMOCAL,20,,5,,,,,,
C2,UMBCAL,,,7,,,,,,
C2,CEATHY,3,,4,,,,,,
C2,ARBMEN,8,,,,,,,,
C2,QUEKEL,,,1,,,,,,
B1,AMOCAL,,,1,,,,,,
B1,UMBCAL,3,,1,,,,,,
B1,HETARB,,,3,,,,,,
B1,ARBMEN,3,,,,,,,,
B2,HETARB,4,,,,,,,,
B2,ARBMEN,,,2,,,,,,
B2,AMOCAL,11,,,,,,,,
B2,UMBCAL,1,,2,,,,,,
B2,QUEGAR,1,,8,,,,,,
B2,CEATHY,2,,1,,,,,,
B3,CEATHY,,,3,,,,,,
B3,AMOCAL,,,1,,,,,,
B3,ARBMEN,12,,,,,,,,
B3,QUEGAR,,,1,,,,,,
B3,UMBCAL,,,1,,,,,,
B4,UMBCAL,,,5,,,,,,
B4,AMOCAL,,,3,,,,,,
B4,ARBMEN,8,,,,,,,,
B4,BACPIL,,,1,,,,,,
B4,HETARB,4,,,,,,,,
B4,QUEGAR,,,1,,,,,,
B4,CEATHY,1,,3,,,,,,
A4,UMBCAL,,,11,,,,,,
A4,AMOCAL,1,,4,,,,,,
A4,HETARB,1,,1,,,,,,
A4,CEATHY,1,,4,,,,,,
A3,UMBCAL,,,1,,,,,,
A3,AMOCAL,1,,4,,,,,,
A3,HETARB,3,,,,,,,,
A3,ARBMEN,,,1,,,,,,
A3,CEATHY,1,,1,,,,,,
A2,UMBCAL,1,,3,,,,,,
A2,AMOCAL,4,,4,,,,,,
A2,HETARB,6,,,,,,,,
A2,CEATHY,,,1,,,,,,
A2,ARBMEN,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
