DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20190426,1315,"TT, MO, MK,MF,TH",ACMPAR,,,,,,,2,FL,3,FL,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",ALLDIV,,,,,,,,,,,,,,,,,,,,,,,,,PINK CHICKWEED LOOKING THING - allophyllum divaricatum LIKELY 
20190426,1315,"TT, MO, MK,MF,TH",ANIMAD,3,V,,,2,V,1,V,,,,,10,FL,6,V,2,V,2,V,1,V,,,
20190426,1315,"TT, MO, MK,MF,TH",AVEBAR,,,,,,,,,,,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",BRADIS,1,FL,3,FL,,,,,,,3,FL,,,,,,,1,FL,3,FL,3,FL,
20190426,1315,"TT, MO, MK,MF,TH",BRIMAX,15,FL,20,FL,40,FL,12,FL,20,FL,6,FL,12,FL,25,FL,12,FL,30,FL,25,FL,13,FL,
20190426,1315,"TT, MO, MK,MF,TH",BRODIA,,,,,,,,,,,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",BRY_SP,5,FL,5,V,2,V,2,V,3,V,1,V,10,V,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",CARCAL,2,V,,,1,FR,2,V,2,V,3,V,2,V,1,V,1,FR,1,FR,,,1,V,
20190426,1315,"TT, MO, MK,MF,TH",CARPYC,,,,,3,V,,,,,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",CERGLO,,,,,,,,,,,1,FL,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",CHLPOM,,,,,3,V,,,,,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",CLAPAR,1,FR,,,,,,,,,25,FR,,,1,FR,,,1,FL,1,FL,,,
20190426,1315,"TT, MO, MK,MF,TH",CLAPER,,,,,,,,,,,,,,,,,,,,,1,FL,,,
20190426,1315,"TT, MO, MK,MF,TH",CYNECH,,,,,,,3,FR,,,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",CYNGRA,,,,,,,,,,,,,,,,,,,,,,,,,ACTUALLY UNK YELLOW SENICO THING ( CHECK IN 2020)
20190426,1315,"TT, MO, MK,MF,TH",DELPAT,,,,,,,,,,,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",DICCAP,2,FL,,,2,FL,,,3,V,,,3,FL,2,V,1,V,1,V,1,V,2,V,
20190426,1315,"TT, MO, MK,MF,TH",FESBRO,,,,,,,,,,,,,5,FR,,,,,,,,,,,FESMIC?
20190426,1315,"TT, MO, MK,MF,TH",FRIAFF,,,,,,,,,,,,,,,,,,,,,,,,,
20190426,1315,"TT, MO, MK,MF,TH",GALAPA,2,FR,3,FR,,,,,,,2,FR,,,,,,,,,,,2,FR,
20190426,1315,"TT, MO, MK,MF,TH",GALAPA,,,,,,,,,,,,,,,,,,,,,2,FR,,,
