Plot ID,1317,,Sampler(s),"TT, GH, MO",,,,,Date ,20190625,,,,,,,,,
Notes,"2760, 2761, 2762, QUEKEL NOT QUEGAR- ALL ATTACHED (fixed in all years mkqc2022)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,TR,2796,,,QUEGAR,1,0,0,1,5,,,,17.9,,,,,
D1,TR,2793,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,DEAD ON GROUND
D1,TR,2793.1,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,DEAD ON GROUND
D1,TR,2795,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,DEAD ON GROUND
D1,TR,2794,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,DEAD ON GROUND
D1,TR,2792,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,DEAD ON GROUND
C1,TR,2774,,,QUEGAR,1,1,1,1,3,,,,17.6,73.1,3,,,
C1,TR,2775,,,QUEGAR,1,0,1,0,2,,,,15.8,,,,,RECORDED 27775 IN '18 DB
C1,TR,2776,,,QUEGAR,1,0,1,1,3,,,,10.1,,,,,
C1,TR,2773,,,QUEGAR,1,0,1,1,4,,,,21.7,,,,,
C1,TR,2773.1,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,DEAD/ TAG GONE
C1,TR,2772,,,QUEGAR,1,0,1,1,3,,,,12.3,,,,,ATTACHED TO 2771
B1,TR,2771,,,QUEGAR,1,0,0,1,4,,,,18.4,,,,,
B2,TR,2770,,,QUEGAR,1,1,1,1,4,,,,15.5,,,,,basal under 50?
B2,TR,2768,,,QUEGAR,1,0,0,1,1,,,,13,,,,,
C2,TR,2780,,,QUEGAR,1,0,1,1,3,,,,18.2,,,,,
C2,TR,2780.1,,,QUEGAR,1,0,1,1,2,,,,15.5,,,,,
C2,SA,2779,,,AESCAL,0,0,0,0,0,NA,NA,NA,,,,1,,DEAD
C2,TR,2777,,,QUEGAR,1,0,1,1,3,,,,20.6,,,,,ATTACHED TO 2778
C2,TR,2778,,,QUEGAR,1,0,1,1,3,,,,19,,,,,ATTACHED TO 2777
D2,TR,2787,,,QUEGAR,1,0,1,1,4,,,,23,,,,,
D2,TR,2791,,,QUEGAR,1,0,1,1,4,,,,21.1,,,,,
D2,TR,2790,,,QUEGAR,1,1,1,0,1,,,,13.4,51.3,2,,,
D2,TR,2790.1,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,DEAD
D2,TR,2789,,,QUEGAR,1,0,1,1,3,,,,21.4,,,,,
D2,TR,2788,,,QUEGAR,1,1,1,1,3,,,,14.8,NA,0,,,
D3,TR,2785,,,QUEGAR,1,0,1,1,4,,,,15.4,,,,,
D3,TR,2786,,,QUEGAR,1,0,1,1,4,,,,17.9,,,,,DBH TAKEN ABOVE BULGE
D3,SA,2784,,,QUEAGR,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
D4,TR,2782,,,QUEGAR,1,1,1,1,4,,,,24.6,NA,0,,,ATTACHED TO 2781
D4,TR,2781,,,QUEGAR,1,0,1,1,4,,,,21.4,,,,,ATTACHED TO 2782
D4,TR,2783,,,QUEAGR,0,0,0,0,0,,,,NA,,,,,GONE/ NO TAG
C4,TR,2798,,,QUEGAR,1,0,1,1,4,,,,20.2,,,,,
C4,TR,2798.1,,,QUEGAR,1,0,1,1,4,,,,14.1,,,,,
B4,TR,2760,,,QUEKEL,1,0,1,1,2,,,,17.5,,,,,NOT QUEGAR/ TOP BROKEN OFF
B3,TR,2761,,,QUEKEL,1,0,0,1,3,,,,17.1,,,,,ATTACHED TO 2760
B3,TR,2762,,,QUEKEL,0,0,0,0,0,,,,NA,,,,,DEAD/ NO TAG/ TOP BROKEN
B3,TR,2765,,,QUEGAR,1,0,1,1,4,,,,17.4,,,,,"ATTACHED TO 66, 67"
B3,TR,2766,,,QUEGAR,1,0,1,1,4,,,,19.1,,,,,"ATTACHED TO 65, 67"
B3,TR,2767,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,"ATTACHED TO 65,66/ DEAD"
B3,TR,2763,,,QUEGAR,1,0,1,1,5,,,,20,,,,,
B3,TR,2764,,,QUEGAR,1,0,1,1,4,,,,16.1,,,,,
A3,TR,2750,,,QUEGAR,1,0,0,1,4,,,,12.3,,,,,
A3,TR,2751,,,QUEGAR,1,0,1,1,4,,,,16.4,,,,,
A3,TR,2753,,,QUEGAR,1,0,0,1,5,,,,16.9,,,,,ATTACHED TO 52
A3,TR,2752,,,QUEGAR,1,0,0,1,4,,,,19.1,,,,,ATTACHED TO 53
A4,TR,2755,,,QUEGAR,1,0,1,1,4,,,,17.7,,,,,"ATTACHED TO 54, 56"
